TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat
1.378266,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4309694,1.215464,-1.88188,0.9997834,-0.009976549,0.01581903,-0.009133976
1.489215,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4316562,1.212421,-1.888519,0.9998924,-0.004584427,0.01324207,-0.004351075
1.589803,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4325139,1.212968,-1.889899,0.9998762,-0.004985979,0.01353484,-0.006297834
1.700459,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4321876,1.2123,-1.890704,0.9997864,-0.0009396805,0.02053891,-0.00211534
1.811266,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4309205,1.208802,-1.889526,0.9995431,0.0148851,0.02521994,0.007488076
1.911336,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4295824,1.206429,-1.889499,0.9986853,0.03237507,0.03844206,0.01008546
2.022829,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4273589,1.205847,-1.887561,0.9981062,0.03983937,0.04590765,0.009453214
2.133751,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4244094,1.206686,-1.885597,0.9968193,0.04632261,0.06317797,0.01463179
2.244393,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4270847,1.201394,-1.884723,0.9968879,0.06761706,0.04043633,-0.002732774
2.344533,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4273354,1.199851,-1.883183,0.9974436,0.06775211,0.02129306,-0.007907479
2.455523,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.422869,1.202767,-1.881779,0.9976264,0.04649119,0.05076966,-0.001611843
2.555709,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.41757,1.201699,-1.878386,0.9950898,0.04080495,0.09013985,0.002475674
2.666725,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4152666,1.197519,-1.874714,0.9920593,0.04940846,0.1150921,0.01145157
2.766973,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4167619,1.196151,-1.871759,0.9932264,0.05149871,0.1037481,0.009253453
2.877504,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4168134,1.197655,-1.8731,0.9956164,0.04490258,0.08181986,0.006111769
