TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot
14.31749,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.022112,1.659508,-2.098265,0.001495847,0.01747475,0.9989831,-0.04153481,4.763179,179.9116,2.000617
14.4286,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.022259,1.659809,-2.096396,0.000381837,0.01746496,0.9990183,-0.04071036,4.666405,180.0379,2.004643
14.53882,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.022549,1.659789,-2.09533,-0.000533696,0.01661085,0.9990576,-0.04009739,4.594398,180.1379,1.910614
14.63903,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.023178,1.659486,-2.094754,0.00105687,0.01757664,0.999001,-0.04107242,4.70928,179.9616,2.014362
14.73928,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.023458,1.65962,-2.094253,0.002023636,0.01789325,0.9990175,-0.04049405,4.644953,179.8509,2.046164
14.83965,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.023411,1.65974,-2.094297,0.002004256,0.01649888,0.9990641,-0.03993544,4.580649,179.8456,1.886054
14.93978,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.023702,1.65948,-2.095208,0.001285482,0.01645503,0.9990121,-0.04126066,4.731252,179.9304,1.884426
15.03987,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.024235,1.659139,-2.096735,0.003548449,0.0166749,0.9989548,-0.04241074,4.867466,179.6737,1.898755
15.15019,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.023936,1.659024,-2.098477,0.003003433,0.01555333,0.9989284,-0.04348793,4.989667,179.7327,1.772402
15.25036,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.024184,1.658781,-2.099987,0.001589771,0.01540789,0.9988919,-0.04444188,5.096546,179.8961,1.762807
15.36055,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.025822,1.658585,-2.101782,0.002944633,0.01615989,0.9988515,-0.04501159,5.164467,179.7453,1.842266
15.46088,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.02726,1.658618,-2.103456,0.004355449,0.01612509,0.9988753,-0.04437614,5.09417,179.5818,1.831117
15.57172,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.028798,1.658403,-2.105156,0.005709594,0.01603058,0.9988455,-0.04492396,5.159421,179.4267,1.813103
15.68289,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.029949,1.65818,-2.106897,0.005771095,0.01659705,0.9988029,-0.04565188,5.24335,179.4239,1.877606
15.79411,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.030848,1.658265,-2.108484,0.005104425,0.01643403,0.9988346,-0.04509306,5.17792,179.4986,1.862558
15.90534,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.031473,1.658035,-2.110495,0.00275322,0.01652852,0.9988337,-0.04528459,5.195511,179.7697,1.885618
16.00543,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.032092,1.657331,-2.112354,0.000949373,0.01796054,0.9986607,-0.04851258,5.562374,179.9911,2.060236
16.10544,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.032956,1.65725,-2.114052,0.001574566,0.01800819,0.9986484,-0.04873123,5.588748,179.92,2.062251
16.21683,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.032969,1.657227,-2.1154,0.001547377,0.01789165,0.9986354,-0.04904097,5.624213,179.9231,2.049037
16.31796,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.032571,1.657074,-2.116056,0.002380008,0.01780698,0.9985906,-0.04994152,5.72921,179.8287,2.034622
16.41939,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.032148,1.657295,-2.116465,0.001789426,0.01721463,0.9986565,-0.04884471,5.602123,179.8911,1.969779
16.5287,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.031867,1.657528,-2.116466,0.002363563,0.01805944,0.9986824,-0.04797796,5.503978,179.828,2.063697
16.63835,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.031646,1.657575,-2.116516,0.002690153,0.01886806,0.9986978,-0.04732487,5.42991,179.7935,2.154891
