"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"48",189.6219,"1",NA,1,-0.3387814,0.0197656,-0.9398444,1.1334253,18.2907668,83.054846,564.3759568,0.3355959,0.0233185,-0.9406563,1.3375119,18.6502181,71.2621416,376.9418199
"49",189.6438,"1",NA,1,-0.3579562,0.0136965,-0.9328187,0.7853747,19.4618948,105.5915103,-1622.47333,0.352919,0.0204633,-0.9343618,1.1737163,19.7075703,94.424193,-1155.0595947
"50",189.655,"1",NA,1,-0.3662815,0.012003,-0.9296047,0.6882621,19.9736462,57.7225077,-1582.9856604,0.3609879,0.0194245,-0.9312964,1.1141244,20.2027178,56.7054254,-1035.0264471
"51",189.6766,"1",NA,1,-0.3818516,0.010026,-0.9233416,0.5748954,20.9360185,81.6563179,-1201.2957441,0.376915,0.0173361,-0.9250066,0.9943262,21.1850111,84.7356204,-1112.3742917
"52",189.6879,"1",NA,1,-0.3878677,0.0105615,-0.9208245,0.6056048,21.3099791,41.9861056,-1251.9842242,0.3835026,0.0170402,-0.9223004,0.9773563,21.5935305,44.9320168,-1260.6568822
"53",189.7098,"1",NA,1,-0.3997008,0.0096771,-0.9157601,0.5548902,22.0480598,64.0321744,-961.2940074,0.3957687,0.015687,-0.917128,0.8997323,22.3571258,66.8567426,-952.6856522
"54",189.7211,"1",NA,1,-0.404874,0.0091663,-0.91349,0.5256019,22.3720041,30.931561,-1629.0221761,0.4012648,0.0147183,-0.9147527,0.8441725,22.7005646,34.0132888,-1601.0078004
"55",189.7434,"1",NA,1,-0.411434,0.0104347,-0.9105406,0.5983304,22.7844433,23.5996214,-418.1165972,0.4089485,0.0140177,-0.9113546,0.803984,23.1824716,27.4232984,-449.7090079
"56",189.7655,"1",NA,1,-0.414556,0.0118079,-0.9091065,0.6770757,22.9814513,12.3850501,-285.0099178,0.412912,0.0138478,-0.9095683,0.7942392,23.4318332,14.0770476,-404.2141889
"57",189.7872,"1",NA,1,-0.4157157,0.0137417,-0.9085496,0.787967,23.0552073,11.0272123,-99.3878531,0.4147403,0.0145242,-0.9087256,0.8330372,23.5473039,9.6388415,-318.8404027
"58",189.7984,"1",NA,1,-0.4158214,0.0145759,-0.9084885,0.8358047,23.062178,9.5017439,193.1566875,0.4151776,0.0147325,-0.9085225,0.8449824,23.5749627,4.7875035,-42.215375
"59",189.8208,"1",NA,1,-0.4128877,0.0185353,-0.9097534,1.0628664,22.8790067,21.2061003,485.6985927,0.4133057,0.0167289,-0.909341,0.9595017,23.4577853,12.5989307,351.4613246
"60",189.843,"1",NA,1,-0.4084467,0.0226502,-0.9116628,1.2988632,22.601802,31.1712646,-312.913367,0.4100295,0.0187841,-0.9107829,1.0773891,23.2524715,20.4621312,-77.5480081
"61",189.8544,"1",NA,1,-0.4063683,0.0243136,-0.9125482,1.3942722,22.4722484,18.9195933,-416.6331133,0.4084591,0.0195817,-0.9114715,1.1231401,23.1541114,14.6561769,-61.7510429
"62",189.8769,"1",NA,1,-0.4008861,0.0270468,-0.9148933,1.5510441,22.1302576,24.3520334,86.7277409,0.4034171,0.0216527,-0.9136675,1.2419451,22.838641,23.3365003,206.6850397
"63",189.8992,"1",NA,1,-0.3956563,0.0286435,-0.9171186,1.642634,21.8042489,22.8359389,-47.0452002,0.3978606,0.0239051,-0.9160448,1.3711642,22.491938,23.9514881,-57.1109745
"64",189.9212,"1",NA,1,-0.3907758,0.0311436,-0.9191274,1.7860533,21.5015185,22.2616487,-77.8838804,0.3931749,0.0261795,-0.9180037,1.5016471,22.2005837,20.8318908,-98.1052065
"65",189.9436,"1",NA,1,-0.3859613,0.0332657,-0.9210852,1.9077934,21.2033785,19.3571827,-103.5127394,0.3887457,0.0277683,-0.9198415,1.5928023,21.9254677,19.6130948,-3.1861519
"66",189.9656,"1",NA,1,-0.3821865,0.0320625,-0.9227007,1.8387678,20.9678263,17.6552227,140.5054324,0.3840359,0.0281027,-0.9218076,1.6119887,21.6326398,20.6699359,208.7213614
"67",189.988,"1",NA,1,-0.3778026,0.0301137,-0.9245698,1.7269692,20.6944548,25.6827708,-133.4696111,0.378643,0.027777,-0.9240457,1.5933049,21.2976309,28.9445965,-218.7505993
"68",189.9996,"1",NA,1,-0.3754147,0.0296514,-0.9255569,1.7004476,20.5462272,18.4291527,10.7952597,0.3760198,0.0276938,-0.9251188,1.5885256,21.1350175,19.5844905,-65.1552604
"69",190.0215,"1",NA,1,-0.3694235,0.0289714,-0.9279859,1.6614423,20.1753752,32.5963158,-157.0683094,0.3697521,0.0274561,-0.9276487,1.5748909,20.7472179,34.4019247,-116.3191634
"70",190.033,"1",NA,1,-0.366515,0.028515,-0.9291527,1.6352638,19.9956148,21.5443668,-354.2291673,0.3665098,0.027517,-0.9289327,1.5783852,20.5471397,23.9457395,-314.5424286
"71",190.0543,"1",NA,1,-0.3599981,0.0287076,-0.931691,1.6463127,19.5944292,26.9243359,88.1716325,0.3592681,0.0287907,-0.9317189,1.6514627,20.1019489,29.9129055,67.4458977
"72",190.0766,"1",NA,1,-0.3538149,0.0291834,-0.9340419,1.6736012,19.2149648,25.2242409,-82.6572128,0.3526404,0.0298899,-0.934213,1.7145351,19.695636,26.6736779,-161.8319399
"73",190.0984,"1",NA,1,-0.3481341,0.0292808,-0.9361711,1.6791908,18.8669521,23.2823627,78.3166342,0.3468969,0.0300496,-0.9363558,1.7236953,19.3438923,22.7844045,6.8928907
"74",190.1204,"1",NA,1,-0.3428385,0.0285212,-0.9381468,1.6356197,18.5427236,28.6879882,-325.0139228,0.3421515,0.0284946,-0.9381487,1.6344775,19.0528378,27.0126465,-290.7762605
"75",190.1319,"1",NA,1,-0.3403312,0.027486,-0.93909,1.5762385,18.3890713,18.3870001,-391.2836556,0.3398608,0.0271531,-0.9390208,1.5575073,18.9122181,18.1145751,-324.2000778
"76",190.1537,"1",NA,1,-0.3353596,0.0254461,-0.9409343,1.4592259,18.0849274,20.8541232,-11.4792251,0.3348745,0.0251297,-0.9408667,1.4414169,18.6071803,20.8471001,-12.1858906
"77",190.1763,"1",NA,1,-0.3309426,0.0241387,-0.9425312,1.3842386,17.8155378,17.7776025,-39.945341,0.330484,0.0237837,-0.9424528,1.3641957,18.3393715,17.4634967,-74.3323887
"78",190.1982,"1",NA,1,-0.3270939,0.0241666,-0.9438731,1.3858367,17.5817577,19.0092268,-401.3365395,0.3269087,0.0234295,-0.9437078,1.3438778,18.1219946,17.4865396,-431.3177441
"79",190.2096,"1",NA,1,-0.3258204,0.024317,-0.9443095,1.3944682,17.5045394,9.2176342,-279.6133158,0.3258149,0.0233383,-0.9440882,1.3386444,18.0555577,7.6405001,-312.8052718
"80",190.2316,"1",NA,1,-0.3229084,0.0248997,-0.9452942,1.4278903,17.3282287,15.8107042,-101.603087,0.3234872,0.0231334,-0.9448934,1.3268895,17.9142556,12.878197,-15.7499515
"81",190.2431,"1",NA,1,-0.3214622,0.0251669,-0.9457798,1.443211,17.2407263,10.0274557,-184.3211699,0.3221668,0.0232351,-0.9453419,1.3327275,17.8342526,9.7780611,-43.1038335
"82",190.2654,"1",NA,1,-0.3183459,0.0250063,-0.9468376,1.4340044,17.0519706,13.0212047,86.9286224,0.318854,0.0233484,-0.9464616,1.3392227,17.6336417,13.867198,109.4249897
"83",190.2878,"1",NA,1,-0.314966,0.0254022,-0.9479567,1.4567102,16.8477551,13.9084331,145.0612954,0.3152642,0.0240315,-0.9476463,1.3784113,17.4167754,14.6619637,124.481263
"84",190.31,"1",NA,1,-0.3116796,0.0267651,-0.9490049,1.5348819,16.6499056,19.4698479,-154.896848,0.3119556,0.0254289,-0.9487042,1.4585811,17.2175033,19.4012622,-186.5563791
"85",190.3213,"1",NA,1,-0.3097791,0.0273393,-0.9496106,1.5678239,16.5354927,13.1383689,-195.4788457,0.3101117,0.0259361,-0.9492948,1.4876845,17.106419,12.7727424,-206.1517755
"86",190.3435,"1",NA,1,-0.3061255,0.0285697,-0.9507586,1.6383979,16.3158197,16.897943,150.322705,0.3065084,0.027113,-0.9504315,1.5552062,16.8896515,16.6420053,159.1078266
"87",190.3657,"1",NA,1,-0.3012871,0.0289762,-0.9522907,1.6617156,16.0246928,19.812697,54.2232044,0.3017267,0.0274621,-0.9519503,1.5752333,16.6017959,19.8371299,67.8737199
"88",190.3875,"1",NA,1,-0.2965506,0.0292226,-0.9537685,1.675855,15.7400664,19.3145928,7.7739819,0.2968614,0.0278763,-0.9534667,1.5989988,16.309406,19.6588693,3.3578779
"89",190.4098,"1",NA,1,-0.2917678,0.028967,-0.9552505,1.6611881,15.4528412,20.170841,21.1121401,0.2921233,0.0275757,-0.9549378,1.5817497,16.0247542,19.9909798,46.2970339
"90",190.4316,"1",NA,1,-0.2866104,0.0286618,-0.9568196,1.6436801,15.1436045,20.2542805,-47.4087207,0.2870044,0.0272351,-0.9564985,1.5622104,15.7177138,21.6848664,41.9426394
"91",190.4538,"1",NA,1,-0.2821854,0.0270657,-0.9581803,1.5521278,14.8780592,18.0643628,-110.5054753,0.2812861,0.0271293,-0.9581987,1.5561381,15.375437,21.8221525,-117.7259753
"92",190.4757,"1",NA,1,-0.278298,0.0263972,-0.9593354,1.5137842,14.6454441,15.3845472,-63.9239724,0.2766613,0.0272785,-0.95954,1.5647005,15.0991565,16.5303239,-185.9168222
"93",190.499,"1",NA,1,-0.2743994,0.0272694,-0.9604335,1.5638131,14.4131225,15.2568181,-50.9755095,0.2733121,0.0275122,-0.9604927,1.5781104,14.8993751,13.496719,-69.765225
"94",190.5206,"1",NA,1,-0.2709734,0.0270765,-0.9614109,1.552746,14.208759,13.1730859,-81.4398533,0.2699999,0.0271814,-0.9614384,1.5591304,14.7017428,13.2951302,-22.6714657
"95",190.5429,"1",NA,1,-0.2680865,0.0265668,-0.9622344,1.5235103,14.0365625,11.692129,-20.8116783,0.2668161,0.0269831,-0.9623324,1.5477543,14.5120123,12.4921046,-30.8192827
"96",190.5654,"1",NA,1,-0.2651815,0.0263882,-0.9630438,1.5132663,13.8635858,12.2498425,98.0473239,0.2637822,0.0269291,-0.9631699,1.5446534,14.3314357,11.9154645,38.6349123
"97",190.5877,"1",NA,1,-0.2617661,0.0267055,-0.963969,1.5314645,13.660618,16.0699971,193.4063088,0.2608915,0.0266732,-0.9639641,1.529971,14.1594396,14.210096,199.9660731
"98",190.6097,"1",NA,1,-0.2566918,0.0272103,-0.9653185,1.5604202,13.3594383,20.8111123,101.8559824,0.256132,0.0268336,-0.9652352,1.5391729,13.876797,20.7448412,236.3195495
"99",190.6318,"1",NA,1,-0.2514347,0.0278612,-0.9666827,1.5977579,13.0478958,20.550481,-52.4055727,0.250298,0.0280538,-0.9667298,1.6091857,13.5312666,24.6257167,116.8188293
"100",190.654,"1",NA,1,-0.2466656,0.0282802,-0.9678984,1.6217936,12.7655832,18.4854842,-79.3825785,0.2439971,0.029943,-0.9682827,1.7175787,13.1589324,25.9140367,-44.8454596
"101",190.6759,"1",NA,1,-0.2427417,0.0301913,-0.9688323,1.7314194,12.5342257,17.0456187,59.016234,0.2385608,0.033217,-0.9695298,1.9054459,12.8389422,22.6788953,-109.0616667
"102",190.698,"1",NA,1,-0.2395651,0.0329067,-0.9695343,1.8872006,12.3476561,21.1071512,-407.9790709,0.2351388,0.0360613,-0.9702638,2.0686776,12.6381732,21.1230557,-615.4082856
"103",190.7092,"1",NA,1,-0.2385467,0.0345284,-0.9697289,1.9802373,12.2882587,9.9100868,-584.8823338,0.2343835,0.0374023,-0.9703958,2.1456363,12.5942588,8.1263899,-670.2665176
"104",190.7314,"1",NA,1,-0.2374237,0.0361162,-0.9699467,2.0713387,12.2227032,6.1354924,-81.3884144,0.2334447,0.0387841,-0.9705679,2.2249464,12.5395641,4.1278048,-81.2217883
"105",190.7536,"1",NA,1,-0.2373867,0.0370399,-0.969921,2.1243382,12.2209933,6.2964412,46.7391747,0.2343212,0.0388774,-0.9703529,2.2303006,12.5913635,4.5201425,-43.4671092
"106",190.765,"1",NA,1,-0.2369382,0.0380466,-0.9699916,2.1821039,12.1950313,7.279445,83.5193647,0.2347163,0.0391122,-0.970248,2.24378,12.6148183,3.3276217,-20.4249479
"107",190.7874,"1",NA,1,-0.2359532,0.0402736,-0.9701418,2.3098981,12.1380743,9.0895963,18.8812163,0.2358291,0.0394386,-0.9699649,2.2625159,12.6807223,4.7557828,60.457836
"108",190.8099,"1",NA,1,-0.2356659,0.0425484,-0.9701146,2.4404464,12.1224213,8.1210187,-22.6877024,0.2364235,0.0409209,-0.9697587,2.3475952,12.7166713,6.0418486,47.9091248
"109",190.8316,"1",NA,1,-0.2360079,0.0441873,-0.9699581,2.5345116,12.1436173,8.0705117,-187.1329359,0.237388,0.0420062,-0.9694767,2.4098983,12.7742973,6.8807656,-139.9457639
"110",190.8427,"1",NA,1,-0.2358634,0.044834,-0.9699635,2.5716315,12.1354851,3.9419959,-257.1860165,0.2376527,0.0422878,-0.9693996,2.4260586,12.7901064,3.3448462,-158.3668256
"111",190.854,"1",NA,1,-0.2361087,0.0451348,-0.9698899,2.5888942,12.1501631,2.3324954,-3.551639,0.2382376,0.0422838,-0.9692562,2.4258298,12.8246763,3.3653856,12.0197221
"112",190.8763,"1",NA,1,-0.2366981,0.0443072,-0.9697844,2.5413923,12.1844614,5.3503632,214.0673609,0.2387965,0.0414721,-0.9691537,2.3792358,12.8572364,3.8609317,94.5584196
"113",190.8983,"1",NA,1,-0.2386052,0.0433833,-0.9693587,2.4883662,12.2965915,11.7920584,21.8273128,0.23991,0.0412527,-0.968888,2.3666441,12.9229476,7.5326226,85.9698801
"114",190.9097,"1",NA,1,-0.2400698,0.0434093,-0.9689959,2.4898543,12.3831892,8.9517518,-43.7789973,0.2411262,0.0414974,-0.9685756,2.3806887,12.9950252,7.5901324,76.9720015
"115",190.9319,"1",NA,1,-0.2424497,0.0429349,-0.9684244,2.462632,12.5236618,12.5390877,-139.5711116,0.2431901,0.0413023,-0.9680678,2.3694904,13.1170273,10.8956965,-91.294419
"116",190.9434,"1",NA,1,-0.2436356,0.0428072,-0.9681323,2.4552998,12.5937552,7.4706475,-214.2870017,0.2442858,0.0412531,-0.967794,2.3666641,13.1818564,7.0835831,-152.9243234
"117",190.9653,"1",NA,1,-0.2457092,0.0424362,-0.9676246,2.4340054,12.7162723,7.7369499,-51.5540893,0.2463245,0.0409102,-0.9672917,2.3469834,13.3023835,7.6450876,-45.5482603
"118",190.9871,"1",NA,1,-0.246951,0.041397,-0.9673533,2.3743688,12.7891777,5.2241052,-56.5895638,0.2475988,0.0398327,-0.9670113,2.2851342,13.3772336,5.1002429,-51.044718
"119",191.0098,"1",NA,1,-0.2464735,0.040072,-0.9675309,2.2983292,12.7601099,5.271525,33.5046927,0.2469,0.0387159,-0.9672353,2.2210342,13.3351913,5.4327198,58.091326
"120",191.0314,"1",NA,1,-0.2451472,0.039594,-0.9678875,2.2708993,12.6813028,6.6738058,123.7715793,0.2451184,0.0386709,-0.9676901,2.2184473,13.2296534,7.6258994,107.5793947
"121",191.0535,"1",NA,1,-0.2429416,0.0403266,-0.9684131,2.3129405,12.5512008,10.7097686,-181.8224325,0.2430525,0.0392735,-0.9681868,2.253036,13.107705,10.136961,-188.2757766
"122",191.0647,"1",NA,1,-0.242279,0.0402319,-0.9685831,2.3075044,12.5119429,4.5915713,-227.4959026,0.2424034,0.0391668,-0.9683538,2.2469128,13.0692377,4.6470094,-186.5406408
"123",191.0869,"1",NA,1,-0.240862,0.0401645,-0.9689392,2.3036374,12.428102,6.6178943,-49.228599,0.2408519,0.039225,-0.9687385,2.2502541,12.9774863,7.2464733,-59.8139763
"124",191.0983,"1",NA,1,-0.2404429,0.0404341,-0.9690321,2.3191101,12.4034716,4.454938,-31.8718866,0.2404263,0.0395001,-0.9688331,2.2660413,12.9524717,4.5478548,-57.3282472
"125",191.1208,"1",NA,1,-0.2384696,0.040511,-0.9695163,2.3235245,12.2868742,7.2896958,18.3599473,0.2384229,0.0396052,-0.9693238,2.2720743,12.8340833,7.2943044,32.4405452
"126",191.1428,"1",NA,1,-0.2369542,0.0409812,-0.9698681,2.3505071,12.1976008,5.3257703,-71.1356906,0.2369887,0.0400019,-0.9696591,2.2948484,12.7495468,6.036271,-12.5585763
"127",191.1651,"1",NA,1,-0.2360781,0.0403659,-0.9701075,2.3151984,12.1455044,4.1438248,-165.7089939,0.2353743,0.0400545,-0.9700501,2.2978653,12.6542018,6.7513469,-215.1210572
"128",191.1765,"1",NA,1,-0.2360578,0.0403773,-0.9701119,2.3158526,12.144311,0.969883,-97.5779078,0.2352275,0.0401775,-0.9700806,2.3049227,12.6455998,1.4810323,-213.9633241
"129",191.1985,"1",NA,1,-0.2353178,0.0404256,-0.9702898,2.3186243,12.1006366,2.8016059,51.1161595,0.2346092,0.0401146,-0.9702329,2.3013136,12.6090489,2.2374286,57.6568821
"130",191.2204,"1",NA,1,-0.2350209,0.0410845,-0.970334,2.3564369,12.08348,3.2170968,-48.2725259,0.2343255,0.0407589,-0.9702746,2.3382984,12.5926562,4.0098419,2.0320571
"131",191.2317,"1",NA,1,-0.2350291,0.0413619,-0.9703202,2.3723527,12.0841215,1.911752,-4.4813548,0.234116,0.0412288,-0.9703054,2.3652684,12.5805504,3.1412335,-7.095733
"132",191.2538,"1",NA,1,-0.2346654,0.0419748,-0.970382,2.4075265,12.0630033,4.2666071,26.6117345,0.23365,0.0419292,-0.9703877,2.4054731,12.5534407,4.5263849,-3.1496511
"133",191.2654,"1",NA,1,-0.2342109,0.0423347,-0.9704762,2.4281842,12.0363791,3.6479668,-30.1563488,0.2332106,0.0422733,-0.9704784,2.4252302,12.5277004,3.7262652,-22.3555762
