"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"36",36,134.6485,1,NA,1,-1.789935294,40.8147451,-15.85532941,-0.2569176,0.1159159,-0.9584332,6.6630285,13.6141187,24.5966021277379,99.8547480383545,0.5243532,-0.0079325,-0.8512784,-0.4545768,28.9127907,14.7074011165693,-520.009617995715
"37",37,134.6708,1,NA,1,-1.757135294,40.4417451,-15.12492941,-0.2650443,0.1140584,-0.956441,6.5557825,14.097059,24.2558306355608,-35.0430633521157,0.5268469,-0.0092888,-0.8497236,-0.5323016,29.0812005,6.63629613236296,-200.058661956419
"38",38,134.6932,1,NA,1,-1.750135294,39.6685451,-14.18942941,-0.2721432,0.1093644,-0.9549946,6.2848754,14.5140666,23.0282010128477,57.4451739616922,0.5256704,-0.011504,-0.8504249,-0.6592488,29.002716,5.78096635681549,281.903433366546
"39",39,134.7152,1,NA,1,-1.811135294,38.9577451,-13.33632941,-0.2784814,0.1041104,-0.9537539,5.9818109,14.8851861,26.7614963323314,138.746903894833,0.5245178,-0.0145623,-0.8510894,-0.8345221,28.9265053,19.0247734545119,430.599148807048
"40",40,134.7373,1,NA,1,-1.610835294,37.2972451,-11.72612941,-0.2869311,0.097173,-0.9519796,5.5819021,15.381248,29.1438446408226,-242.352065175106,0.5176848,-0.0146273,-0.8552617,-0.8382431,28.4676629,24.7532496109262,99.5371295220238
"41",41,134.7487,1,NA,1,-1.447035294,36.4734451,-10.93472941,-0.2909393,0.0948519,-0.9509966,5.4481633,15.6186917,22.3893139024807,-544.203536025336,0.5142309,-0.0133809,-0.8573632,-0.7668132,28.2359593,24.0677356127546,-60.3121722104411
"42",42,134.7706,1,NA,1,-1.132135294,35.1406451,-9.711529412,-0.2963772,0.0920878,-0.9495881,5.2889333,15.941933,11.5290080745393,-441.014488312033,0.5080109,-0.0101839,-0.8611071,-0.583594,27.8199113,22.7429709401088,-256.57287844869
"43",43,134.782,1,NA,1,-1.022435294,34.6523451,-9.326429412,-0.2972876,0.0910645,-0.9494021,5.2299977,15.995172,7.1271876240626,-230.560019037303,0.505018,-0.0089426,-0.8628795,-0.51246,27.6205805,17.5827128397016,-447.614633034003
"44",44,134.8039,1,NA,1,-0.923935294,33.9478451,-8.730429412,-0.2992202,0.0887382,-0.9490153,5.0960356,16.1080246,5.48478755034932,-63.7769288954878,0.5011447,-0.0082044,-0.8651421,-0.4701544,27.3635152,7.89031931622367,-329.192762152099
"45",45,134.8261,1,NA,1,-0.929735294,33.7473451,-8.544629412,-0.3000239,0.0875688,-0.9488701,5.0287063,16.1546679,4.31799061225071,-24.4064294103734,0.500222,-0.0085939,-0.8656721,-0.4924785,27.3025356,3.09932671417441,-83.1443860546484
"46",46,134.8374,1,NA,1,-0.920435294,33.6313451,-8.425029412,-0.3006911,0.0870897,-0.948703,5.0011258,16.1941916,4.36031546075266,-93.2517259973723,0.4998267,-0.0086165,-0.8659002,-0.4937714,27.276379,3.65892198587844,13.2014278632994
"47",47,134.8488,1,NA,1,-0.962435294,33.7693451,-8.555029412,-0.3000938,0.087185,-0.9488834,5.0066108,16.1582754,2.1914767033275,-69.3457026318827,0.5004333,-0.0091434,-0.8655443,-0.5239691,27.3166863,3.39536709891166,-27.3734723065512
"48",48,134.8707,1,NA,1,-1.055735294,33.8691451,-8.638829412,-0.2998107,0.0862877,-0.9490549,4.954953,16.1397564,3.32058833046917,44.4868599226345,0.500981,-0.0106268,-0.8652105,-0.6089774,27.3534306,2.70271182105772,-12.8613452605127
"49",49,134.8927,1,NA,1,-1.110835294,33.8033451,-8.526729412,-0.3009074,0.0850846,-0.9488164,4.8857007,16.2040878,4.14374277906795,-21.3029629376815,0.501251,-0.0117538,-0.8650395,-0.6735655,27.3717353,2.83263071693735,13.7718580515135
"50",50,134.9151,1,NA,1,-1.059635294,33.7937451,-8.458929412,-0.3019349,0.0858207,-0.9484236,4.9280719,16.2673025,2.35124914634036,-9.38343664253319,0.5018804,-0.0109726,-0.8646848,-0.6287957,27.413136,3.31732890002231,10.0399102366758
"51",51,134.9374,1,NA,1,-1.015535294,33.9571451,-8.594429412,-0.3015531,0.0873807,-0.9484026,5.0178808,16.2467228,3.71723930109315,10.5394898539912,0.5028163,-0.0100007,-0.8641527,-0.5730992,27.4748288,3.28257454466767,-41.280961075996
"52",52,134.9595,1,NA,1,-0.991635294,34.1317451,-8.767929412,-0.3006635,0.0886937,-0.9485631,5.0934737,16.1951099,2.82934563066512,16.008676995975,0.5034884,-0.0093158,-0.863769,-0.5338481,27.5191787,1.49239872220941,40.6553326712229
"53",53,134.9817,1,NA,1,-0.855535294,34.0932451,-8.723229412,-0.3010065,0.0905736,-0.9482767,5.2017308,16.2189227,4.43204217813274,27.0693776833557,0.5034256,-0.007033,-0.8638271,-0.4030279,27.5143917,5.09577165835812,118.114793533259
"54",54,135.0043,1,NA,1,-0.732435294,33.8612451,-8.505829412,-0.3020123,0.0912154,-0.9478952,5.2386919,16.2807846,4.02400408668276,-11.4922204202416,0.502396,-0.0052409,-0.8644391,-0.3003322,27.4457582,6.76626175142405,29.9026341310156
"55",55,135.0264,1,NA,1,-0.639535294,33.4843451,-8.172029412,-0.3032847,0.0906319,-0.947545,5.2050854,16.3567227,3.91505864415412,9.0609275506497,0.5004954,-0.0041358,-0.8655469,-0.237,27.3196935,6.45442583237171,7.06246030681649
"56",56,135.0484,1,NA,1,-0.582935294,33.1754451,-7.896129412,-0.3043533,0.0898712,-0.9472747,5.1612774,16.4200768,4.42219193310788,17.1920138129933,0.4989623,-0.0035578,-0.8664341,-0.2038789,27.2181854,7.07559898266565,39.7121228828657
"57",57,135.0705,1,NA,1,-0.537635294,32.7412451,-7.511929412,-0.3057768,0.0882971,-0.9469644,5.0706423,16.5035759,4.67264050337506,-48.7626550797973,0.4967639,-0.0033131,-0.8676974,-0.1898577,27.0728883,8.20687814947579,-6.40345169546072
"58",58,135.0927,1,NA,1,-0.469635294,32.3273451,-7.166429412,-0.3067841,0.0872069,-0.9467395,5.0078704,16.5627415,2.25599679611618,-60.7112248694269,0.4944313,-0.0026007,-0.8690311,-0.1490323,26.9189138,6.78616681713146,-152.415930656585
"59",59,135.104,1,NA,1,-0.454035294,32.2123451,-7.081529412,-0.3068762,0.0868579,-0.9467417,4.9877779,16.5677465,2.11401653262687,9.79380751033865,0.4936561,-0.0024419,-0.8694722,-0.1399344,26.8678007,4.06472165165581,-151.695436100374
"60",60,135.126,1,NA,1,-0.433535294,32.1567451,-7.080729412,-0.3062595,0.0868902,-0.9469385,4.9896367,16.5304797,2.82136581500745,10.5067525574552,0.4928217,-0.0020876,-0.8699463,-0.119627,26.812808,2.68851128097744,-52.1698153367398
"61",61,135.1485,1,NA,1,-0.446735294,32.3468451,-7.276029412,-0.3052008,0.0876626,-0.9472091,5.0341073,16.4676884,2.57074427765788,-65.0654780712583,0.4934768,-0.002058,-0.8695749,-0.117932,26.8559615,1.74835746992725,-63.1348768303022
"62",62,135.1597,1,NA,1,-0.462035294,32.3936451,-7.321629412,-0.3049752,0.087667,-0.9472812,5.0343625,16.4540528,1.23803140078987,-22.3972485950763,0.4936662,-0.002262,-0.8694669,-0.1296223,26.8684531,0.802123903764393,-20.5503349120489
"63",63,135.1816,1,NA,1,-0.481635294,32.3641451,-7.280829412,-0.3053097,0.0872103,-0.9472157,5.0080693,16.4735397,2.86296155549438,216.358159503607,0.4936837,-0.0026564,-0.8694558,-0.1522276,26.8696408,1.7522437970294,165.102188435066
"64",64,135.1928,1,NA,1,-0.496335294,32.2687451,-7.180029412,-0.305883,0.0864906,-0.9470967,4.9666319,16.5070517,6.87836982003461,168.860737291303,0.4933862,-0.0030455,-0.8696234,-0.1745245,26.8500726,4.96462675384038,158.108519294391
"65",65,135.215,1,NA,1,-0.485935294,31.8034451,-6.713629412,-0.308276,0.0842708,-0.9465208,4.8388564,16.6483075,6.41667374569936,-104.347380859015,0.4916499,-0.0034667,-0.8706047,-0.1986567,26.7357848,5.61724307826227,-45.5686066759028
"66",66,135.237,1,NA,1,-0.468635294,31.5023451,-6.437129412,-0.3094017,0.0830146,-0.9462645,4.7665555,16.7144765,2.28292563814649,-68.9580058328762,0.4902374,-0.0035075,-0.8714007,-0.2009976,26.6428687,2.96548748644779,-85.2700025016033
"67",67,135.2593,1,NA,1,-0.537335294,31.4441451,-6.395529412,-0.3094079,0.0816485,-0.9463812,4.6879437,16.7127278,3.39751597793051,-25.9120071099152,0.4898256,-0.0047501,-0.8716263,-0.2722031,26.6159649,1.8503612702165,-51.3147166661857
"68",68,135.2707,1,NA,1,-0.565135294,31.4796451,-6.445729412,-0.3089791,0.0813935,-0.9465433,4.673268,16.6863766,2.23693163853487,-81.5600928264475,0.4897894,-0.0051717,-0.8716443,-0.2963636,26.6136487,1.25045025332278,-5.51431746051021
"69",69,135.2927,1,NA,1,-0.596835294,31.5354451,-6.512129412,-0.3085146,0.0811806,-0.946713,4.6610176,16.6579388,0.888011717915917,-3.42439669466515,0.4898761,-0.0056407,-0.8715926,-0.323239,26.6194332,2.16554330011712,66.8181170623435
"70",70,135.3151,1,NA,1,-0.623235294,31.4214451,-6.425529412,-0.308636,0.0801919,-0.9467579,4.6041273,16.6637765,2.10804448335319,32.8407120210382,0.4891318,-0.0062045,-0.8720067,-0.3555482,26.5706247,4.22726384231957,40.9509228589666
"71",71,135.3374,1,NA,1,-0.636635294,31.1835451,-6.231929412,-0.3091041,0.0787834,-0.9467233,4.5230885,16.6899996,2.35815404890019,-15.7534523846153,0.4877279,-0.0066693,-0.8727893,-0.3821864,26.4785142,4.00115856919085,-53.620583834695
"72",72,135.3593,1,NA,1,-0.647535294,31.0391451,-6.116329412,-0.3093554,0.0778875,-0.9467153,4.4715464,16.7038865,1.4225295391416,-25.8408478894379,0.4868531,-0.0069945,-0.873275,-0.4008247,26.421178,1.87462657039464,-51.4497025333497
