"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","FocusedObject","RayDirection_x","RayDirection_y","RayDirection_z"
"34",51.04658,"1",NA,1,-0.0881994,-0.0096927,0.9957912,-0.5555084,4.2630949,48.597124,-494.9171999,-0.1249782,0.0072038,0.9918327,0.4128746,-7.9024826,87.4958198,-605.8654117,"B6","-0.5095327","-0.1453492","-0.848085"
"35",51.05772,"1",NA,1,-0.0924587,-0.0098741,0.995403,-0.5659025,4.5082202,29.1621837,-363.5284923,-0.1334915,0.0069301,0.9907248,0.3971845,-8.3945327,56.55921,-516.103534,"B6","-0.5147372","-0.1391986","-0.8459566"
"36",51.08001,"1",NA,1,-0.102209,-0.0107857,0.9944396,-0.6181479,5.069774,51.8434102,-242.3402427,-0.1515228,0.0068089,0.9881286,0.3902408,-9.438654,95.4523048,-533.9577349,"B6","-0.5050344","-0.1443589","-0.8509334"
"37",51.09129,"1",NA,1,-0.1077726,-0.0109725,0.9938499,-0.6288579,5.3904368,34.8982316,-578.399741,-0.1615284,0.0063673,0.9865453,0.3649307,-10.0192541,63.7241138,-1100.820195,"B6","-0.506534","-0.1402596","-0.8507317"
"38",51.11393,"1",NA,1,-0.1184367,-0.0114563,0.9926303,-0.6565871,6.0056278,42.7188271,251.1540849,-0.1810705,0.0054763,0.9831516,0.3138621,-11.1560656,77.56038,384.915777,"B6","-0.4942831","-0.1455786","-0.857017"
"39",51.13634,"1",NA,1,-0.130354,-0.0118724,0.9911308,-0.6804357,6.6940541,46.2344072,88.4929527,-0.2017937,0.0042873,0.9791142,0.2457208,-12.3661413,81.1166017,101.1217973,"B6","-0.5088108","-0.1540271","-0.8469795"
"40",51.15865,"1",NA,1,-0.1421889,-0.0133112,0.9894837,-0.7629009,7.3789206,46.6830702,15.1510746,-0.2222745,0.0039572,0.9746702,0.2267976,-13.5673035,82.0883035,40.3285751,"B6","-0.5097244","-0.1529501","-0.8466223"
"41",51.18076,"1",NA,1,-0.1540363,-0.0147409,0.9876884,-0.8448475,8.0657263,46.9084098,31.3616964,-0.2432768,0.0033434,0.9696437,0.1916215,-14.8050318,82.9086422,27.3816505,"B6","-0.5044867","-0.1472521","-0.8507609"
"42",51.20347,"1",NA,1,-0.1664146,-0.0168379,0.9856446,-0.9650404,8.7848363,48.1014034,-1.382881,-0.2644687,0.0032142,0.9640797,0.184217,-16.0607973,83.3097165,-45.6622814,"B6","-0.5050836","-0.1517614","-0.8496049"
"43",51.2257,"1",NA,1,-0.1780958,-0.0194825,0.9835527,-1.116628,9.4650566,46.8721421,-81.2993414,-0.2849174,0.0034856,0.9582346,0.1997679,-17.279736,80.8869743,-140.2666716,"B6","-0.5062886","-0.1454922","-0.8499993"
"44",51.24815,"1",NA,1,-0.1896909,-0.0228283,0.98131,-1.3084245,10.1420417,44.4632284,-155.6852385,-0.3046038,0.0044053,0.9521558,0.2524818,-18.4606181,77.0357197,-209.7397784,"B6","-0.4983872","-0.1498389","-0.8538944"
"45",51.27036,"1",NA,1,-0.1991446,-0.0256488,0.9793657,-1.4701191,10.6953337,39.9308515,-68.4346574,-0.3223397,0.0047504,0.9462971,0.2722606,-19.5311653,71.5291618,-184.8341425,"B6","-0.5010237","-0.1480616","-0.8526713"
"46",51.29273,"1",NA,1,-0.2094939,-0.0285422,0.9771238,-1.6359988,11.3024275,41.4341129,-74.7092624,-0.3396366,0.0052217,0.9402252,0.2992728,-20.5818331,68.8059092,-229.7555704,"B6","-0.5030583","-0.1546608","-0.8502909"
"47",51.31491,"1",NA,1,-0.2188311,-0.0321489,0.974963,-1.8428012,11.851915,36.6295166,-267.6073513,-0.3552886,0.0065204,0.9344149,0.3737081,-21.5387373,61.3140747,-368.1838315,"B6","-0.5076748","-0.1681762","-0.8449724"
"48",51.33701,"1",NA,1,-0.2256063,-0.0356983,0.9732936,-2.0463379,12.2519945,29.5885385,-212.962931,-0.3681317,0.0079663,0.9294188,0.4565761,-22.3285719,52.5051619,-312.4973448,"B6","-0.5042375","-0.1614301","-0.8483397"
"49",51.35923,"1",NA,1,-0.2321723,-0.0383647,0.9716468,-2.1992517,12.6401773,27.2036755,-129.9895661,-0.3801085,0.0086136,0.9245794,0.4936761,-23.0689425,47.4745239,-280.1543791,"B6","-0.5236895","-0.1544471","-0.837775"
"50",51.38126,"1",NA,1,-0.2380005,-0.0405816,0.9701455,-2.3264074,12.9853354,23.8408056,-41.3712017,-0.390004,0.0091647,0.9204437,0.5252626,-23.6836493,40.1185437,-63.1534291,"B6","-0.5278997","-0.1296195","-0.8393494"
