"","Time","Phase","GFO","Movement","pitch2","yaw2","V2","V2a"
"2624",274.4313,4,"A4",NA,-0.7438081,113.8125245,0.94007942314155,4.00607732094882
"2625",274.4536,4,"A4",NA,-0.7032569,113.8339147,1.29440602012145,1.15773108908071
"2626",274.4757,4,"A4",NA,-0.6666522,113.8255871,0.994428954291449,27.4337658916518
"2627",274.4978,4,"A4",NA,-0.5851612,113.8301223,2.50697847252984,55.708574385145
"2628",274.5197,4,"A4",NA,-0.4730686,113.8096677,3.44815274329351,-9.960174184781
"2629",274.531,4,"A4",NA,-0.4229719,113.7961369,2.73742407340105,-35.1609516831603
"2630",274.5528,4,"A4",NA,-0.340172,113.8097429,2.57554684582491,-72.9437843537369
"2631",274.5645,4,"A4",NA,-0.3254978,113.7989713,0.955541354451372,-23.7076540024908
"2632",274.5863,4,"A4",NA,-0.3100086,113.8044474,2.94035941018806,43.9119716176982
"2633",274.6086,4,"A4",NA,-0.2777015,113.8852941,2.86849193869698,-11.7948081635044
"2634",274.6307,4,"A4",NA,-0.2234069,113.8566525,2.41838433804794,11.5787291228293
"2635",274.6419,4,"A4",NA,-0.180479,113.8403451,2.9058566996892,-12.9048570101509
"2636",274.6647,4,"A4",NA,-0.1615113,113.8127502,1.32504076954774,-5.72299346960121
"2637",274.6861,4,"A4",NA,-0.1751387,113.8306278,2.56384493436119,21.0137541395181
"2638",274.7085,4,"A4",NA,-0.1339705,113.7660473,2.20856890991505,-20.4649499318325
"2639",274.7309,4,"A4",NA,-0.070678,113.7502381,1.6470151774149,4.8887429987607
"2640",274.7527,4,"A4",NA,-0.0236917,113.7443548,2.40667648682554,2.06408843323723
"2641",274.7748,4,"A4",NA,0.0238571,113.7030808,1.72779383144608,-73.2194141733288
"2642",274.7863,4,"A4",NA,0.0196487,113.7080131,0.397012035639138,-39.0715602784617
"2643",274.8086,4,"A4",NA,0.0464795,113.7116434,1.23497992953476,37.1911055853255
"2644",274.8205,4,"A4",NA,0.0475541,113.7010762,1.67296151881661,20.4432189468204
"2645",274.8419,4,"A4",NA,0.079265,113.663952,1.76030053254263,3.79748076233899
"2646",274.8643,4,"A4",NA,0.13104,113.6835784,1.83900739464589,5.88558683936585
"2647",274.8861,4,"A4",NA,0.1844631,113.6649859,2.01902033825949,-0.108851194356566
"2648",274.9084,4,"A4",NA,0.220875,113.6422277,1.83002389413885,1.10631102448343
"2649",274.9309,4,"A4",NA,0.2186943,113.6146315,2.07049936973515,10.6323793351067
"2650",274.9528,4,"A4",NA,0.2045347,113.5695578,2.30213478836631,-31.9118292380891
"2651",274.9644,4,"A4",NA,0.2052747,113.5494869,1.43908761688745,-50.3403571950691
"2652",274.9867,4,"A4",NA,0.1999603,113.5314044,0.853041472539782,-14.7503964784922
"2653",275.0086,4,"A4",NA,0.2180527,113.5180726,0.782508212666508,-2.47661200627448
"2654",275.0311,4,"A4",NA,0.2393787,113.5095001,0.743526350336131,10.9163141511196
"2655",275.0531,4,"A4",NA,0.2588909,113.5167419,1.26195977170826,28.6201972371841
"2656",275.0753,4,"A4",NA,0.265361,113.5415112,2.00955007656536,11.0274839036601
"2657",275.0977,4,"A4",NA,0.277575,113.5869052,1.7492560028032,-24.4981135729433
"2658",275.12,4,"A4",NA,0.285778,113.6089798,0.915772184096574,-34.1015920217279
"2659",275.1313,4,"A4",NA,0.2849875,113.6151764,0.56742450715747,10.3630973371413
"2660",275.1531,4,"A4",NA,0.3101967,113.6241484,1.69128912249575,44.1738317551742
"2661",275.1646,4,"A4",NA,0.344589,113.6416734,2.11442289156249,17.8192524343553
"2662",275.1863,4,"A4",NA,0.4013208,113.6550586,2.08934342210581,22.179094254804
"2663",275.2085,4,"A4",NA,0.4304259,113.6784881,3.09975254443552,-1.42517353695482
"2664",275.2306,4,"A4",NA,0.4638382,113.749067,2.03090214421687,13.5421966557974
"2665",275.2419,4,"A4",NA,0.4401073,113.7448449,2.88347205662425,11.1211420249341
"2666",275.2641,4,"A4",NA,0.4600407,113.8018888,1.70229040364344,-23.2252339088653
"2667",275.2864,4,"A4",NA,0.4802655,113.7911241,1.85294726236566,9.86872464768092
"2668",275.3083,4,"A4",NA,0.5165141,113.8326022,2.13724290839041,-3.2202592236153
"2669",275.3306,4,"A4",NA,0.5481945,113.8603417,1.70413108645204,4.49563901586632
"2670",275.3524,4,"A4",NA,0.5858821,113.8837722,2.32354174208346,39.0265206362179
"2671",275.3746,4,"A4",NA,0.6465867,113.8427786,3.42554326956872,33.9327720214056
"2672",275.3857,4,"A4",NA,0.6667105,113.8149029,3.62785004470123,13.1109125451875
