"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"68",30.32274,"1","B5",NA,0.0792518,-0.0148604,-0.9939967,-0.8538074,0.3895545,1.3184866,-45.3617546,-0.0128834,-0.0149424,-0.993813,-0.8613299,-0.9543416,NA,NA
"69",30.34475,"1","B5",NA,0.0790306,-0.0147721,-0.9940156,-0.8487345,0.4023137,1.326046,11.432731,-0.0128757,-0.0148796,-0.9938141,-0.8577101,-0.9547853,0.7835432,NA
"70",30.367,"1","B5",NA,0.0786057,-0.014359,-0.9940553,-0.824999,0.4268301,1.8271607,2.1494546,-0.0128888,-0.0145213,-0.9938192,-0.8370552,-0.9540349,1.4014818,10.7934305
"71",30.38926,"1","B5",NA,0.0787097,-0.0139609,-0.9940528,-0.8021238,0.4208643,1.4215145,-19.5346068,-0.0128765,-0.0141157,-0.9938252,-0.8136745,-0.9547464,1.263789,0.3213948
"72",30.41139,"1","B5",NA,0.0789625,-0.0138831,-0.9940338,-0.7976535,0.4062966,0.96019,-3.305695,-0.0131537,-0.0140139,-0.993823,-0.8078011,-0.9387684,1.4149026,25.2723127
"73",30.43385,"1","B5",NA,0.0792572,-0.0140635,-0.9940078,-0.8080209,0.3892955,1.2799019,-12.2393966,-0.0136905,-0.0141687,-0.9938136,-0.8167248,-0.9078177,2.3967679,-42.5844756
"74",30.44491,"1","B5",NA,0.0793125,-0.0139086,-0.9940056,-0.7991179,0.3861224,0.8517304,NA,-0.0137252,-0.0140097,-0.9938154,-0.8075616,-0.9058197,0.9712984,-57.3056741
"75",30.46693,"1","B5",NA,0.0794257,-0.0141854,-0.9939926,-0.8150214,0.3795741,NA,NA,-0.0140291,-0.0142755,-0.9938073,-0.8228867,-0.8882941,1.285607,17.8187417
"76",30.47832,"1","B5",NA,0.079509,-0.0138956,-0.9939901,-0.7983697,0.3747935,1.4473169,NA,-0.0142108,-0.0139837,-0.9938089,-0.80606,-0.8778199,1.5289396,3.0779786
"77",30.50021,"1","B5",NA,0.0793987,-0.013809,-0.9940001,-0.793396,0.3811558,0.4941531,-18.6644371,-0.0138132,-0.0139032,-0.9938156,-0.8014197,-0.9007475,1.196042,-19.7778851
