"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","FocusedObject","RayOrigin_x","RayOrigin_y","RayOrigin_z","RayDirection_x","RayDirection_y","RayDirection_z","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"31",83.53185,1.860153,1.663791,-1.183143,-0.007048437,0.05893961,0.9873081,-0.1473067,16.86054,181.8732,7.11034,"Calibration","B5",NA,"B5","1.88245","1.572086","-1.197625","-0.04838834","0.002593983","-0.9988232",0.1138324,0.0134145,0.9926423,0.7692016,-0.1677483,4.0376697,-15.8753759,0.0050154,-0.013152,0.9930089,-0.7588025,0.4135447,3.0377303,-50.1592658
"32",83.54321,1.860117,1.663841,-1.183284,-0.00712623,0.05865323,0.9873381,-0.1472158,16.85003,181.8766,7.077344,"Calibration","B5",NA,"B5","1.88039","1.572185","-1.197131","-0.04472619","0.000786631","-0.9989856",0.1132424,0.0135974,0.992707,0.7796902,-0.1337138,3.7290076,1.3447766,0.0047835,-0.0133546,0.9930074,-0.7704939,0.4001614,2.2526302,-18.2467076
"33",83.56525,1.860141,1.663928,-1.183614,-0.007367831,0.05812021,0.9873973,-0.1470179,16.82645,181.8942,7.017506,"Calibration","B5",NA,"B5","1.861337","1.571678","-1.194988","-0.02618276","0.004926431","-0.9996359",0.1121124,0.0140056,0.9928295,0.8030986,-0.0685366,4.3871333,25.0200562,0.0041647,-0.0138001,0.9930041,-0.7961996,0.3644576,2.9715201,25.012291
"34",83.58773,1.860101,1.663973,-1.183871,-0.007687523,0.0576539,0.9874346,-0.1469351,16.81553,181.9232,6.967418,"Calibration","B5",NA,"B5","1.857323","1.571676","-1.194507","-0.0246302","0.001256188","-0.9996802",0.1110922,0.0141912,0.9929418,0.8137442,-0.0096772,4.8407707,-135.4176523,0.0033993,-0.0140201,0.9930039,-0.8088914,0.3202976,3.3628311,-88.2065463
"35",83.59921,1.860153,1.663991,-1.184049,-0.007759871,0.05758731,0.9874415,-0.1469113,16.81239,181.9304,6.96068,"Calibration","B5",NA,"B5","1.878268","1.572339","-1.197308","-0.03758818","0.002603004","-0.9992772",0.1109376,0.0142446,0.9929585,0.8168031,-0.0007587,1.4999196,-153.8350621,0.0032392,-0.0140786,0.9930036,-0.8122677,0.3110589,1.1377756,-87.6678929
"36",83.6217,1.860037,1.66404,-1.184292,-0.007878975,0.05743872,0.9874713,-0.1467621,16.79461,181.9407,6.944508,"Calibration","B5",NA,"B5","1.882617","1.57253","-1.198084","-0.03956812","0.002824548","-0.9992018",0.1106027,0.0145531,0.992991,0.834494,0.0185324,1.1253437,30.1224149,0.002976,-0.0143964,0.9929999,-0.8306069,0.2958714,1.5534893,11.3898508
"37",83.64376,1.860054,1.664006,-1.184595,-0.008018635,0.0571817,0.9874904,-0.1467269,16.79007,181.9524,6.916307,"Calibration","B5",NA,"B5","1.829368","1.570926","-1.191836","-0.00352742","0.006377386","-0.9999577",0.1100522,0.0146302,0.9930513,0.8389165,0.0502876,2.8217588,-9.3285093,0.0026252,-0.0144923,0.9929995,-0.836137,0.275634,1.6482441,-43.7682584
"38",83.65529,1.860071,1.664026,-1.184744,-0.008072346,0.05727961,0.9874904,-0.1466856,16.78472,181.9601,6.928679,"Calibration","B5",NA,"B5","1.828432","1.570911","-1.191887","-0.001449428","0.001369015","-0.9999906",0.1102259,0.014722,0.9930306,0.8441832,0.0402586,1.7199858,-37.8663711,0.0025567,-0.0145774,0.9929984,-0.8410482,0.2716834,0.589423,-37.9446598
"39",83.67748,1.860174,1.664025,-1.185034,-0.007985115,0.05767754,0.9874827,-0.1465863,16.77307,181.956,6.973938,"Calibration","B5",NA,"B5","1.860403","1.572053","-1.195734","-0.02285688","0.002132008","-0.9997354",0.1110316,0.0149259,0.9929378,0.8558772,-0.0062522,2.1598876,-29.4305065,0.0028654,-0.0147514,0.992995,-0.8510914,0.2894946,0.9431875,10.0497754
"40",83.69958,1.860179,1.663985,-1.185296,-0.008051091,0.0576645,0.9874903,-0.1465366,16.76688,181.9632,6.973328,"Calibration","B5",NA,"B5","1.87801","1.57267","-1.197955","-0.03177402","0.001867747","-0.9994835",0.1109832,0.0150325,0.9929416,0.8619889,-0.0034688,0.4209416,19.9397626,0.0027375,-0.014859,0.9929938,-0.8572988,0.2821133,1.0350579,43.0861808
"41",83.7114,1.860187,1.664002,-1.18545,-0.007933632,0.05766889,0.9874741,-0.1466499,16.7808,181.9503,6.972285,"Calibration","B5",NA,"B5","1.870627","1.57243","-1.197285","-0.02775812","0.003194622","-0.9995998",0.1110333,0.0147921,0.9929393,0.8482051,-0.0063369,1.8223783,132.0697122,0.0029555,-0.0146186,0.9929967,-0.8434253,0.2946898,2.0044791,83.795494
"42",83.73298,1.860111,1.664091,-1.185616,-0.007674913,0.05819452,0.9874414,-0.1466763,16.78464,181.9291,7.030238,"Calibration","B5",NA,"B5","1.849927","1.571752","-1.195282","-0.01507178","0.005796554","-0.999864",0.1121488,0.0147287,0.992815,0.8445645,-0.0707029,4.9638773,-73.5062386,0.003627,-0.0145163,0.992996,-0.8375262,0.3334346,3.8512018,-38.3470581
"43",83.74405,1.860073,1.66412,-1.185701,-0.007461283,0.05821513,0.9874383,-0.1467003,16.7889,181.9044,7.029071,"Calibration","B5",NA,"B5","1.85119","1.571874","-1.19558","-0.01724366","0.006884838","-0.9998159",0.1122583,0.0146587,0.9928038,0.8405529,-0.0770152,1.7249388,NA,0.0040489,-0.0144433,0.9929954,-0.8333108,0.357779,2.0548754,-124.1468046
"44",83.75521,1.860024,1.664235,-1.185842,-0.007434273,0.05810842,0.9874444,-0.1467027,16.78957,181.8994,7.015956,"Calibration","B5",NA,"B5","1.852244","1.571923","-1.195821","-0.01776466","0.005812898","-0.9998119",0.1120575,0.0146478,0.9928265,0.8399276,-0.0654274,NA,NA,0.0040667,-0.0144398,0.9929954,-0.8331093,0.3588079,1.0948494,-1.6075002
"45",83.77718,1.860102,1.664261,-1.186023,-0.007107386,0.05832764,0.9874161,-0.1468222,16.80529,181.8655,7.036767,"Calibration","B5",NA,"B5","1.853711","1.572063","-1.196186","-0.01828668","0.004397006","-0.9998105",0.1125962,0.0143794,0.9927694,0.8245372,-0.0964914,2.171253,NA,0.0047633,-0.0141547,0.9929964,-0.8166572,0.3990002,2.9141595,45.3168711
"46",83.79931,1.860045,1.664299,-1.186101,-0.006755906,0.05856284,0.9874126,-0.1467694,16.80125,181.8277,7.058335,"Calibration","B5",NA,"B5","1.854002","1.572191","-1.196418","-0.01909614","0.004823933","-0.9997918",0.1131684,0.014456,0.9927036,0.8289296,-0.1295189,2.5944636,1.0670751,0.0055316,-0.0142112,0.9929916,-0.8199221,0.4433321,3.0873247,10.7706779
"47",83.8213,1.859928,1.664337,-1.186238,-0.006396764,0.05874157,0.9874313,-0.1465878,16.78249,181.7869,7.072555,"Calibration","B5",NA,"B5","1.851852","1.572212","-1.196333","-0.01782934","0.004350838","-0.999822",0.1136281,0.0147896,0.992646,0.8480568,-0.1560854,2.2208603,15.3100693,0.0063135,-0.0145273,0.9929824,-0.8381584,0.4884472,3.3889494,34.1045819
"48",83.84358,1.859876,1.664416,-1.18636,-0.006048335,0.05896249,0.9874573,-0.1463387,16.7558,181.7476,7.091706,"Calibration","B5",NA,"B5","1.850348","1.572296","-1.196334","-0.01802805","0.004657871","-0.9998242",0.1141653,0.0152612,0.9925773,0.8751008,-0.1871399,3.2816073,-20.7796104,0.0070953,-0.0149776,0.9929704,-0.8641403,0.5335597,4.6030471,-27.4231494
"49",83.85474,1.859877,1.664544,-1.186365,-0.005851741,0.05885461,0.9874857,-0.1461983,16.74117,181.7214,7.074946,"Calibration","B5",NA,"B5","1.850543","1.572313","-1.196485","-0.01729735","0.004922178","-0.9998326",0.1140121,0.0155203,0.9925908,0.8899621,-0.1783254,2.2864807,-53.9205593,0.0074615,-0.0152414,0.9929637,-0.8793633,0.5546943,3.3828237,-81.8072241
"50",83.86615,1.859808,1.66456,-1.186392,-0.005698213,0.05868815,0.9875225,-0.1460222,16.7222,181.6989,7.051855,"Calibration","B5",NA,"B5","1.850382","1.572331","-1.196571","-0.01663209","0.003848395","-0.9998518",0.1137292,0.0158545,0.9926178,0.9091264,-0.1620306,2.0734324,-18.4660592,0.0077304,-0.0155843,0.9929563,-0.899149,0.5702147,2.763541,-23.9584344
"51",83.88817,1.859656,1.664661,-1.18645,-0.005364154,0.05860024,0.9875722,-0.1457339,16.69141,181.6556,7.034531,"Calibration","B5",NA,"B5","1.857813","1.572604","-1.197521","-0.0195818","0.001212314","-0.9998056",0.1136552,0.0163979,0.9926175,0.9402873,-0.1578142,1.6713461,-12.4274627,0.0083902,-0.0161283,0.9929423,-0.9305377,0.6082881,2.9035566,-17.0432391
"52",83.91024,1.859576,1.664683,-1.186535,-0.005116771,0.05862464,0.9875826,-0.145663,16.68493,181.6263,7.03288,"Calibration","B5",NA,"B5","1.861333","1.572727","-1.198068","-0.02033229","0.000305359","-0.9997788",0.1137804,0.016515,0.9926015,0.9470072,-0.1650547,1.5257972,NA,0.0088894,-0.0162416,0.9929361,-0.9370723,0.6370922,2.0109345,-25.3666999
"53",83.93233,1.859411,1.664705,-1.186571,-0.004904128,0.05882142,0.9875882,-0.1455527,16.67337,181.6037,7.052118,"Calibration","B5",NA,"B5","1.857136","1.572573","-1.19772","-0.01759359","-0.00011965","-0.999835",0.1142317,0.0167198,0.9925461,0.9587493,-0.1911296,NA,NA,0.009382,-0.0164298,0.9929285,-0.9479353,0.6655238,1.7836647,-8.7651894
"54",83.95414,1.859247,1.664606,-1.186548,-0.004743496,0.05881079,0.9875749,-0.1456528,16.68611,181.5853,7.048468,"Calibration","B5",NA,"B5","1.845546","1.572182","-1.196504","-0.01171754","0.001530255","-0.9999267",0.1142654,0.0165004,0.9925461,0.9461679,-0.1930455,1.416443,NA,0.0096817,-0.0162115,0.9929292,-0.9353351,0.6828109,1.6257162,16.1818853
"55",83.97603,1.859027,1.664537,-1.18662,-0.004531424,0.05873574,0.9875565,-0.1458139,16.70635,181.5603,7.03652,"Calibration","B5",NA,"B5","1.841697","1.572034","-1.196126","-0.01048822","0.001138427","-0.9999393",0.1141907,0.0161509,0.9925601,0.9261235,-0.1886998,1.7673025,51.6972699,0.0100521,-0.0158683,0.992931,-0.915537,0.7041813,2.492687,42.1977541
"56",83.99818,1.858863,1.664605,-1.186686,-0.004355362,0.05872775,0.9874895,-0.1462761,16.76104,181.543,7.034269,"Calibration","B5",NA,"B5","1.840697","1.57199","-1.196094","-0.01037738","0.000986348","-0.9999338",0.1142443,0.0151997,0.9925692,0.8715744,-0.1916942,3.7024647,39.072881,0.0103397,-0.0149226,0.9929427,-0.8609657,0.7207681,3.4847792,12.9018164
"57",84.02039,1.858662,1.664535,-1.186662,-0.004246222,0.05839939,0.9874563,-0.1466339,16.80368,181.5271,6.994774,"Calibration","B5",NA,"B5","1.844544","1.572088","-1.196564","-0.01252332","-1.18E-05","-0.9999064",0.1136445,0.0144583,0.9926489,0.8290588,-0.1570001,3.4976779,-8.7942491,0.0104077,-0.0142085,0.9929525,-0.819763,0.7246869,3.0630983,-4.9346456
"58",84.04227,1.858348,1.664426,-1.18662,-0.004061476,0.0582045,0.9874065,-0.1470516,16.85356,181.5052,6.969998,"Calibration","B5",NA,"B5","1.850261","1.572203","-1.197188","-0.01621505","-0.0008155","-0.9998651",0.1133321,0.0135913,0.9926969,0.7793405,-0.1388889,3.3145856,-25.4245868,0.0106569,-0.0133598,0.9929616,-0.7707961,0.7390594,3.2625737,-19.9866785
"59",84.06448,1.858109,1.664457,-1.186593,-0.00390625,0.05818235,0.987357,-0.1473969,16.8946,181.4891,6.965942,"Calibration","B5",NA,"B5","1.852393","1.572187","-1.197353","-0.01836961","-0.001302812","-0.9998242",0.1133472,0.0128776,0.9927049,0.738417,-0.1396962,2.3710792,-26.0975355,0.0109144,-0.0126515,0.9929681,-0.7299278,0.7539114,2.1722815,-54.5394886
"60",84.08676,1.857807,1.664451,-1.186482,-0.003867915,0.05801924,0.9873553,-0.1474733,16.90395,181.4823,6.9462,"Calibration","B5",NA,"B5","1.852409","1.572168","-1.197262","-0.01833863","-0.00167313","-0.9998271",0.1130411,0.0127155,0.9927418,0.7291217,-0.1220194,2.1546531,7.6101172,0.0109286,-0.0125017,0.9929699,-0.7212815,0.7547291,0.8357304,-18.0257446
"61",84.10901,1.8576,1.664418,-1.186333,-0.003871765,0.05748903,0.9874201,-0.1472463,16.87848,181.4717,6.882521,"Calibration","B5",NA,"B5","1.878061","1.573077","-1.20009","-0.01014265","0.004070288","-0.9999331",0.1119929,0.0131612,0.9928545,0.7546803,-0.0615638,2.709438,-5.4727446,0.0107782,-0.0129815,0.9929654,-0.7489706,0.7460575,1.3683362,-0.4696448
"62",84.13108,1.857424,1.664415,-1.186237,-0.003951761,0.05745091,0.9874164,-0.1472845,16.88239,181.4807,6.879537,"Calibration","B5",NA,"B5","1.877872","1.573074","-1.199965","-0.01143604","0.004155759","-0.9999164",0.1118936,0.0130917,0.992867,0.7506934,-0.0558271,1.9175743,20.6158231,0.0106066,-0.0129156,0.9929681,-0.7451675,0.736152,0.819309,-2.9609648
"63",84.15336,1.857202,1.664412,-1.18613,-0.003892876,0.05700814,0.9874157,-0.1474623,16.90402,181.4673,6.826625,"Calibration","B5",NA,"B5","1.87286","1.572828","-1.199312","-0.003978624","0.005027665","-0.9999718",0.1110475,0.0127164,0.9929666,0.7291697,-0.0069753,3.6356138,51.1628436,0.0105609,-0.0125729,0.9929729,-0.7253935,0.7335169,1.2416197,27.7451674
"64",84.17657,1.857087,1.664397,-1.186034,-0.003981813,0.05644983,0.987423,-0.1476258,16.92314,181.4693,6.762531,"Calibration","B5",NA,"B5","1.869921","1.572704","-1.198872","-0.002772417","0.006958938","-0.9999629",0.1099272,0.0123826,0.9930955,0.7100316,0.0576961,4.22084,23.0124474,0.0101897,-0.0122801,0.9929805,-0.7084976,0.7120946,2.0896118,29.5011605
"65",84.19775,1.856886,1.664394,-1.186001,-0.004007923,0.05611518,0.9873964,-0.1479305,16.9587,181.4688,6.724384,"Calibration","B5",NA,"B5","1.846897","1.571883","-1.196214","0.01077505","0.01502386","-0.9998138",0.1092695,0.0117627,0.9931757,0.6744829,0.0956836,4.6616063,30.9346683,0.0099979,-0.0116868,0.9929896,-0.6742667,0.7010237,2.5654562,24.1954587
"66",84.21975,1.856672,1.664443,-1.185842,-0.004110707,0.05529745,0.9873988,-0.148219,16.99258,181.4686,6.63019,"Calibration","B5",NA,"B5","1.8494","1.571984","-1.196365","0.008239988","0.01345818","-0.9998655",0.1076382,0.0111718,0.9933605,0.6406007,0.1898275,5.5649008,26.585593,0.0095066,-0.0111553,0.9930005,-0.6436014,0.6726731,3.1357893,70.1223181
