"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"26",47.73197,1.881114,1.841094,-2.108533,0.6201271,-0.7824661,0.01824982,0.0534438,283.4908,195.1582,170.6941,"Calibration","B5",NA,0.676880342,0.794674074,-0.645673789,-0.0940918,0.0122579,-0.9937081,0.7035876,0.1249125,2.04915,34.8751989,0.10672,0.0120768,-0.9935324,0.6924388,0.1680079,1.8956473,33.7026131
"27",47.75437,1.881104,1.841046,-2.108293,0.6204212,-0.7822376,0.01827185,0.05336679,283.4474,195.1606,170.6869,"Calibration","B5",NA,0.720280342,0.797074074,-0.652873789,-0.0940096,0.0129912,-0.9937065,0.7456859,0.1202244,2.9539559,50.678242,0.1066381,0.0128289,-0.9935318,0.735564,0.1633417,3.0234302,56.8705498
"28",47.77646,1.881107,1.841078,-2.108032,0.6207246,-0.7819741,0.0181727,0.05373333,283.4103,195.371,170.4981,"Calibration","B5",NA,0.757380342,1.007474074,-0.841673789,-0.0942749,0.0138333,-0.99367,0.7940209,0.1355849,4.3006366,-83.0067788,0.1071097,0.0135891,-0.993471,0.7791486,0.1905981,4.4237959,-90.472448
"29",47.78773,1.881072,1.841075,-2.107975,0.6208493,-0.7818658,0.01810143,0.05389304,283.3958,195.4704,170.4059,"Calibration","B5",NA,0.771880342,1.106874074,-0.933873789,-0.0943468,0.0141808,-0.9936583,0.8139682,0.1397568,1.7426067,-136.2022623,0.1072821,0.0138986,-0.9934481,0.7968995,0.2005674,1.6701005,-148.3274091
"30",47.80968,1.881196,1.84108,-2.107755,0.6209248,-0.7818017,0.01820588,0.05391647,283.3833,195.4586,170.428,"Calibration","B5",NA,0.784380342,1.095074074,-0.911773789,-0.0945334,0.0143795,-0.9936376,0.8253749,0.1505327,0.7454708,-9.8795846,0.1074482,0.0140993,-0.9934273,0.8084086,0.2101676,0.5217583,-22.4692741
"31",47.8321,1.881374,1.841128,-2.107581,0.6208909,-0.7818443,0.01875816,0.05349974,283.3725,195.1292,170.7685,"Calibration","B5",NA,0.795180342,0.765674074,-0.571273789,-0.0948986,0.0142214,-0.9936052,0.8163022,0.1715748,1.3209571,27.5336121,0.1074611,0.0140675,-0.9934264,0.8065842,0.2109078,0.6871669,41.6584441
"32",47.85408,1.881484,1.841169,-2.107293,0.6210485,-0.7817256,0.01877037,0.05339844,283.3485,195.1071,170.7831,"Calibration","B5",NA,0.819180342,0.743574074,-0.556673789,-0.0947824,0.0146029,-0.9936106,0.8381997,0.164909,1.9671425,25.4611923,0.1073218,0.0144718,-0.9934356,0.8297673,0.2029117,2.3563097,16.7493964
"33",47.86543,1.881433,1.841152,-2.107078,0.6211953,-0.7816063,0.01864672,0.05348244,283.3309,195.1958,170.691,"Calibration","B5",NA,0.836780342,0.832274074,-0.648773789,-0.0946784,0.0149909,-0.9936149,0.8604696,0.158942,2.2114353,-26.8007856,0.10731,0.0148329,-0.9934316,0.8504703,0.2022641,1.8746115,-39.7252052
"34",47.88773,1.881567,1.841223,-2.10691,0.6213167,-0.781513,0.01857927,0.05345826,283.3145,195.2228,170.6565,"Calibration","B5",NA,0.853180342,0.859274074,-0.683273789,-0.0945334,0.0152939,-0.993624,0.8778687,0.1506071,0.5361441,-26.4918774,0.107197,0.0151371,-0.9934392,0.8679164,0.1957717,1.0492876,-21.4903403
"35",47.90991,1.881635,1.841194,-2.106815,0.6213523,-0.7814962,0.01868015,0.05325604,283.3051,195.1189,170.752,"Calibration","B5",NA,0.862580342,0.755374074,-0.587773789,-0.094444,0.0153469,-0.9936318,0.8809085,0.1454533,1.0272406,24.2526084,0.1070006,0.0152389,-0.9934588,0.8737542,0.184454,0.9168588,12.3750977
"36",47.93193,1.881853,1.841128,-2.106709,0.6215153,-0.7813596,0.01867446,0.05336033,283.2831,195.1827,170.6962,"Calibration","B5",NA,0.884580342,0.819174074,-0.643573789,-0.0945488,0.0157823,-0.993615,0.9059007,0.151533,1.6077716,NA,0.107167,0.0156529,-0.9934344,0.8974903,0.194092,1.5933316,7.7639931
"37",47.95411,1.882041,1.841182,-2.106573,0.6216683,-0.7812438,0.01873909,0.05325016,283.2586,195.1408,170.7342,"Calibration","B5",NA,0.909080342,0.777274074,-0.605573789,-0.0945049,0.0161516,-0.9936132,0.9271007,0.1490337,NA,NA,0.1070777,0.0160511,-0.9934377,0.9203225,0.1889797,1.2563542,11.7908844
"38",47.96537,1.882057,1.841155,-2.106535,0.6215749,-0.7813208,0.01893792,0.0531394,283.2669,195.0257,170.8566,"Calibration","B5",NA,0.900780342,0.662174074,-0.483173789,-0.0946906,0.0158957,-0.9935996,0.9124097,0.1597246,1.9687234,NA,0.1071407,0.0158321,-0.9934344,0.9077644,0.1925931,1.6929564,26.3523884
"39",47.98744,1.882074,1.841233,-2.106496,0.6213204,-0.7815354,0.01900351,0.05293641,283.2998,194.8939,170.9773,"Calibration","B5",NA,0.867880342,0.530374074,-0.362473789,-0.0945673,0.0152092,-0.9936221,0.8730052,0.1525509,2.0565249,-22.0922046,0.1068873,0.015191,-0.9934717,0.8710044,0.1779167,2.000395,-17.031884
"40",48.0098,1.882108,1.841198,-2.106437,0.6212341,-0.781589,0.01902487,0.05315125,283.3142,194.9596,170.931,"Calibration","B5",NA,0.853480342,0.596074074,-0.408773789,-0.0948682,0.0150317,-0.9935962,0.8628171,0.1698904,0.9796063,-13.4156263,0.1072489,0.0149711,-0.9934361,0.8583989,0.1987519,0.9272508,-15.0988964
"41",48.03176,1.882032,1.841216,-2.106484,0.6213078,-0.7815351,0.01884119,0.05314659,283.3071,195.0224,170.8528,"Calibration","B5",NA,0.860580342,0.658874074,-0.486973789,-0.0945679,0.0152151,-0.993622,0.8733448,0.1525912,1.4480455,34.1448985,0.1070224,0.0151417,-0.9934579,0.8681801,0.1857043,1.3180539,44.3320573
"42",48.0432,1.88211,1.841192,-2.106519,0.621241,-0.7815989,0.01885295,0.05298572,283.3145,194.9478,170.9152,"Calibration","B5",NA,0.853180342,0.584274074,-0.424573789,-0.0943964,0.015014,-0.9936414,0.8617962,0.1426836,1.9852487,46.646858,0.1067787,0.0149757,-0.9934867,0.8586594,0.1716311,2.1287836,55.8570886
"43",48.06539,1.882228,1.841126,-2.106599,0.6209835,-0.7818181,0.01886105,0.05276584,283.3488,194.8269,171.019,"Calibration","B5",NA,0.818880342,0.463374074,-0.320773789,-0.0941621,0.0143159,-0.9936738,0.8217239,0.1291169,3.0134311,19.3587333,0.10643,0.0143209,-0.9935337,0.8211134,0.1514637,3.0351607,14.6351298
"44",48.08754,1.882245,1.841083,-2.106612,0.6206193,-0.7821158,0.01897889,0.05259736,283.3969,194.6803,171.1618,"Calibration","B5",NA,0.770780342,0.316774074,-0.177973789,-0.0941706,0.0133585,-0.9936864,0.7667693,0.1295349,2.844694,-41.8814989,0.1062922,0.013405,-0.9935613,0.7685962,0.1434391,2.7787537,-43.0825772
