"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"47",39.40163,1.91223,1.854019,-2.071496,0.4920945,-0.8620264,0.1070972,-0.05730346,303.2671,158.1452,206.0667,"Calibration","B5",NA,-0.096179104,-0.022045771,-0.466527363,-0.1279542,-0.0015042,-0.9706738,-0.088028,-0.4851648,3.6048332,35.7008674,0.0073887,-0.0031583,-0.9696372,-0.1866182,0.4126597,2.586398,-27.1595617
"48",39.42323,1.912262,1.854001,-2.071517,0.4919863,-0.8620033,0.1077617,-0.05733356,303.2975,158.0873,206.1786,"Calibration","B5",NA,-0.126579104,-0.079945771,-0.354627363,-0.1290289,-0.001825,-0.970531,-0.1067976,-0.4217172,6.7540124,8.0102233,0.0079958,-0.0032392,-0.9696321,-0.1913977,0.3767884,3.0621068,2.1759372
"49",39.43471,1.91229,1.853986,-2.071482,0.4919426,-0.8619338,0.1084053,-0.05754013,303.3249,157.9948,206.3084,"Calibration","B5",NA,-0.153979104,-0.172445771,-0.224827363,-0.1299163,-0.0019904,-0.9704123,-0.1164816,-0.3693289,5.2641967,-106.4100078,0.0082704,-0.0032073,-0.9696299,-0.1895132,0.3605607,2.8592359,62.6893402
"50",39.45684,1.912353,1.854074,-2.07157,0.4918111,-0.8619837,0.1088739,-0.05703036,303.3375,158.0521,206.3341,"Calibration","B5",NA,-0.166579104,-0.115145771,-0.199127363,-0.1311625,-0.002366,-0.9702438,-0.1384592,-0.2957374,3.426408,-88.0507418,0.0096045,-0.0033128,-0.9696173,-0.1957485,0.2817281,6.0249404,95.4280189
"51",39.47939,1.912133,1.854036,-2.071557,0.4916352,-0.8623137,0.1078912,-0.05540251,303.2869,158.4453,205.9948,"Calibration","B5",NA,-0.115979104,0.278054229,-0.538427363,-0.1309927,-0.0027159,-0.9702658,-0.1589341,-0.3057567,1.3279872,-17.6499389,0.0114483,-0.0037214,-0.9695958,-0.2198875,0.172773,7.1029584,-15.2206781
"52",39.50153,1.911993,1.85398,-2.071578,0.4915081,-0.8625122,0.1074688,-0.05425027,303.2587,158.6986,205.803,"Calibration","B5",NA,-0.087779104,0.531354229,-0.730227363,-0.1313367,-0.0029992,-0.9702185,-0.1755171,-0.2854312,2.6067156,120.3035242,0.0130139,-0.0039508,-0.9695751,-0.233444,0.0802585,5.3705691,-76.5891648
"53",39.52358,1.912035,1.853889,-2.071549,0.4913248,-0.8625728,0.1079249,-0.05403987,303.2859,158.7089,205.8494,"Calibration","B5",NA,-0.114979104,0.541654229,-0.683827363,-0.1322684,-0.0034714,-0.9700903,-0.2031477,-0.2303982,6.6385707,55.168622,0.013847,-0.0042153,-0.9695625,-0.2490744,0.0310223,3.718334,-111.3479444
"54",39.53497,1.912046,1.853842,-2.071464,0.4913988,-0.8623968,0.1087817,-0.05445739,303.3098,158.5484,206.0474,"Calibration","B5",NA,-0.138879104,0.381154229,-0.485827363,-0.1333434,-0.00339,-0.9699435,-0.1983844,-0.1669002,5.8126439,-87.0187696,0.0139393,-0.003895,-0.9695625,-0.230146,0.0255697,2.0352953,-61.3144464
"55",39.55736,1.912134,1.853885,-2.071291,0.4914297,-0.8622892,0.1094814,-0.05447913,303.3237,158.476,206.1774,"Calibration","B5",NA,-0.152779104,0.308754229,-0.355827363,-0.1345166,-0.003403,-0.9697814,-0.1991429,-0.0975902,3.5395168,-93.6688946,0.0145572,-0.0036534,-0.9695543,-0.2158744,0.0109421,2.5980836,22.4377545
"56",39.57947,1.912169,1.854022,-2.071061,0.4915207,-0.8622688,0.1094377,-0.0540675,303.2995,158.5439,206.1403,"Calibration","B5",NA,-0.128579104,0.376654229,-0.392927363,-0.1348524,-0.0032103,-0.9697354,-0.1878693,-0.0777585,1.6421786,-21.6901723,0.0151798,-0.0034059,-0.9695457,-0.2012494,0.0477356,3.0345308,29.8687668
