"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"55",32.18441,1.898028,2.065341,-2.027688,0.6381865,-0.7675185,0.03052649,0.05197608,280.638,192.7757,173.9422,"Calibration","B5",NA,-0.1144203,-0.032113,-0.9921469,-1.8416563,-0.2740987,5.7608282,NA,0.1180723,-0.0313286,-0.9922086,-1.7958267,0.3576716,5.7401019,-135.6792893
"56",32.19563,1.897991,2.065329,-2.027698,0.6380932,-0.7676055,0.03034681,0.05194081,280.6544,192.8162,173.8842,"Calibration","B5",NA,-0.1141115,-0.0323634,-0.9921742,-1.8560245,-0.2918777,NA,NA,0.1177788,-0.0315934,-0.9922351,-1.8110129,0.3745629,1.6661551,-161.7883428
"57",32.21764,1.897913,2.065354,-2.027737,0.6382182,-0.7675089,0.03030044,0.05186168,280.6362,192.8129,173.8772,"Calibration","B5",NA,-0.1139322,-0.0320556,-0.992205,-1.8383647,-0.3022988,3.0297025,NA,0.1176041,-0.0312754,-0.9922659,-1.792778,0.3847225,2.5359942,82.3379543
"58",32.22926,1.897663,2.065356,-2.02771,0.6383878,-0.767351,0.03048369,0.05200235,280.6093,192.8312,173.8851,"Calibration","B5",NA,-0.1143818,-0.031586,-0.9921683,-1.8114256,-0.2764367,4.0249911,53.6789265,0.1180595,-0.0308116,-0.9922263,-1.7661812,0.3585248,3.9903038,83.481812
"59",32.25085,1.897606,2.065333,-2.027742,0.6377721,-0.7678249,0.03087323,0.0523297,280.696,192.756,174.0192,"Calibration","B5",NA,-0.1154217,-0.0331129,-0.9919979,-1.8990214,-0.2160476,4.4935975,-8.7382952,0.1190421,-0.0323604,-0.9920596,-1.8549918,0.3014421,4.8929362,-15.9099717
"60",32.27303,1.897514,2.0653,-2.0277,0.6379914,-0.7676096,0.03056113,0.0529956,280.6743,193.2215,173.5824,"Calibration","B5",NA,-0.115827,-0.032411,-0.991974,-1.8587534,-0.1927925,3.6245545,-81.7384799,0.1196287,-0.0318333,-0.9920061,-1.8247687,0.2676807,3.2598708,-67.6538869
"61",32.28432,1.897493,2.06526,-2.027751,0.6379605,-0.767626,0.0304835,0.05317413,280.6817,193.332,173.4802,"Calibration","B5",NA,-0.115949,-0.032455,-0.9919583,-1.8612784,-0.1857369,2.2212574,-56.7530803,0.1197918,-0.0319248,-0.9919835,-1.8300132,0.2582377,2.5635043,-39.5200494
"62",32.29552,1.897305,2.065253,-2.02788,0.6377716,-0.7677689,0.03067859,0.05326446,280.7068,193.2741,173.5616,"Calibration","B5",NA,-0.1163672,-0.0329244,-0.9918938,-1.8882049,-0.1614761,2.3420989,-43.4176835,0.1201792,-0.0323891,-0.9919216,-1.8566418,0.2357585,2.3690705,-55.8021285
"63",32.31754,1.897023,2.065351,-2.027899,0.6377603,-0.7677806,0.03071421,0.0532109,280.7075,193.2335,173.6007,"Calibration","B5",NA,-0.1163499,-0.0329644,-0.9918945,-1.8905018,-0.1624665,0.1924011,-18.247821,0.1201454,-0.0324153,-0.9919248,-1.8581405,0.2377077,0.2938155,-20.5742086
"64",32.34022,1.896809,2.065547,-2.027896,0.637724,-0.7677857,0.0302442,0.0538374,280.7263,193.7052,173.1419,"Calibration","B5",NA,-0.1164815,-0.0329325,-0.9918801,-1.8886726,-0.1548697,1.5788101,104.7700734,0.1204577,-0.0325711,-0.9918818,-1.8670794,0.2196315,1.4980255,99.0599247
"65",32.36746,1.896705,2.065542,-2.027662,0.6382005,-0.767395,0.02978284,0.05401818,280.6664,194.0364,172.7874,"Calibration","B5",NA,-0.1160103,-0.0316636,-0.9919766,-1.8158783,-0.1823636,5.6215258,-19.3751349,0.1201333,-0.0313953,-0.9919591,-1.7996521,0.2386304,5.4484839,-17.9297237
"66",32.38106,1.896498,2.065535,-2.027491,0.638478,-0.7671695,0.02996348,0.05384408,280.6208,193.9245,172.8996,"Calibration","B5",NA,-0.1160342,-0.0309787,-0.9919956,-1.7765876,-0.1811295,3.0761325,-137.1159857,0.1201219,-0.0306506,-0.9919837,-1.7569521,0.2394479,2.9884667,-126.1881678
