TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat
1.471619,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.225507,1.641544,-2.003624,-0.0335834,0.01324314,0.9983693,-0.04422135
1.57182,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.19397,1.646476,-2.008529,-0.02358487,0.02294103,0.9979956,-0.0540584
1.682699,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.16146,1.648021,-2.014844,-0.0008166721,-0.000453043,0.9975197,-0.07038334
1.793669,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.153792,1.646106,-2.029206,0.01919324,0.01223962,0.9958372,-0.08826212
1.893728,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.121376,1.644605,-2.025547,-0.0102118,0.01774704,0.9970083,-0.07453348
2.004644,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.09437,1.644128,-2.012724,-0.02769857,0.006646405,0.9973407,-0.06708288
2.115816,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.079611,1.647724,-2.011423,-0.03185855,0.006180698,0.9979216,-0.05567317
2.215902,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.053144,1.650108,-2.007628,-0.02187626,0.001378631,0.9986476,-0.0471444
2.326931,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.026968,1.649254,-2.001127,-0.009660226,0.001675858,0.998929,-0.04521945
2.437891,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9793022,1.653202,-1.983551,0.009281545,0.01547337,0.9992695,-0.03368798
2.549148,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.974509,1.65637,-1.991118,0.05468088,0.01805048,0.9979566,-0.02769116
2.659986,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9717001,1.652574,-1.995654,0.06534133,0.01316201,0.997444,-0.02574451
2.760185,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9719575,1.650916,-2.002632,0.02270721,0.00095831,0.9993291,-0.028721
2.870866,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9753683,1.648432,-2.005264,-0.002223599,0.01205864,0.9993284,-0.03453122
2.971134,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9786958,1.646784,-2.003638,0.001036192,0.01286242,0.9992642,-0.03611888
3.081743,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9817957,1.644725,-2.002231,0.01074434,0.01214909,0.9989942,-0.04180428
3.182216,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9853416,1.643661,-2.001036,0.02441282,0.01640746,0.9983317,-0.0496856
3.292831,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9860881,1.643353,-1.999821,0.02877803,0.01358743,0.9981037,-0.05269017
3.392886,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9845372,1.644958,-1.999048,0.02019994,0.01432299,0.9985762,-0.04724922
3.492978,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9838684,1.645852,-1.995933,0.01446215,0.01201434,0.9987257,-0.04683627
3.593098,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9856272,1.646585,-1.988915,0.01587031,0.01223663,0.9985691,-0.04958228
3.70398,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9902791,1.646465,-1.975322,0.02083625,0.01597767,0.9982559,-0.05287549
3.814902,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9945458,1.64456,-1.958584,0.02450528,0.01978457,0.99752,-0.06294397
3.926041,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9970497,1.635036,-1.947083,0.02390643,0.02650006,0.9940276,-0.1031287
4.037106,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9971926,1.616125,-1.945287,0.01299872,0.02602889,0.9865513,-0.1608418
4.148355,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,0.9968778,1.585105,-1.953933,-0.004022569,0.03726173,0.9671122,-0.2515742
