TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot
6.314494,1.626406,0.8388454,-2.416934,0.1415593,-0.007134591,0.9834098,0.113205,347.0163,163.4968,1.059501,1.554126,0.8444557,-2.460813,-0.01786499,-0.08748761,0.9891168,0.1169391,346.8085,183.2857,349.5106,1.356212,0.8289233,-2.504005,0.197007,-0.007000419,0.9797845,0.03408046,356.0124,157.2626,359.9834,1.974799,0.7797177,-2.191264,0.1712328,-0.1896868,0.6505741,0.7151585,275.4446,329.2505,181.1434,1.886491,0.7812909,-2.248005,0.2107482,-0.2004777,0.6634009,0.6894151,272.2663,4.636354,141.5475
6.336715,1.62573,0.8385708,-2.417128,0.1415811,-0.007214541,0.9833933,0.1133157,347.0024,163.4947,1.05246,1.554379,0.8445242,-2.460667,-0.017795,-0.08748069,0.9891056,0.11705,346.795,183.2787,349.5117,1.356409,0.8291396,-2.503937,0.1968869,-0.007069417,0.9798088,0.03406268,356.0128,157.277,359.9747,1.974898,0.7798142,-2.191247,0.1711602,-0.1897324,0.6505627,0.7151741,275.4494,329.161,181.2351,1.886412,0.7813599,-2.248033,0.2107784,-0.2006042,0.6634322,0.6893389,272.2554,4.526495,141.6441
6.358875,1.625923,0.8386072,-2.417122,0.1414924,-0.007247725,0.9834094,0.1132845,347.0053,163.5058,1.046893,1.554434,0.844475,-2.460616,-0.01786595,-0.08743604,0.9891024,0.1170991,346.7899,183.287,349.5157,1.356502,0.8289759,-2.503822,0.1967326,-0.007529396,0.9798501,0.03366571,356.0471,157.2974,359.9133,1.974859,0.779772,-2.191296,0.1711118,-0.1896089,0.6505796,0.7152031,275.4486,329.2326,181.1779,1.886409,0.7812156,-2.24801,0.2107693,-0.2005425,0.6635022,0.6892923,272.2481,4.718709,141.4579
6.380811,1.625792,0.8384938,-2.417236,0.1415394,-0.007181011,0.9834001,0.1133106,347.0035,163.4992,1.055686,1.554139,0.8444423,-2.460724,-0.01790335,-0.08750237,0.9891036,0.1170338,346.7981,183.2915,349.5078,1.356498,0.828583,-2.503742,0.1965273,-0.008186608,0.9798966,0.03335702,356.067,157.3243,359.8316,1.974869,0.7797767,-2.191361,0.1712268,-0.1896069,0.6505547,0.7151988,275.4476,329.3287,181.0724,1.886413,0.7813236,-2.247976,0.2107886,-0.2005581,0.6634371,0.6893445,272.2571,4.635311,141.5383
6.392187,1.625701,0.8384511,-2.417293,0.1414822,-0.007178761,0.9834124,0.113275,347.0075,163.5061,1.054565,1.554109,0.8444108,-2.460737,-0.01795376,-0.08750734,0.9891052,0.1170093,346.8014,183.2971,349.5067,1.356479,0.8285882,-2.503701,0.1965461,-0.008228585,0.9798909,0.03340221,356.0609,157.3222,359.8279,1.97681,0.7809498,-2.190664,0.1718688,-0.1896383,0.6501873,0.7153705,275.4765,329.9234,180.4209,1.886453,0.7814156,-2.247979,0.2108059,-0.2005167,0.6634167,0.6893708,272.2622,4.713221,141.4624
6.414236,1.625653,0.8383347,-2.417161,0.141483,-0.007189617,0.9833934,0.1134382,346.9887,163.5054,1.056132,1.554577,0.8447145,-2.460641,-0.01791019,-0.08745123,0.9891125,0.1169956,346.8023,183.2911,349.514,1.355711,0.8292304,-2.504387,0.1968773,-0.007559692,0.9798183,0.03373936,356.0381,157.2804,359.9122,1.976514,0.7808511,-2.190851,0.1718807,-0.1897083,0.6502047,0.7153333,275.4734,329.8602,180.4772,1.886661,0.7815236,-2.247995,0.2108577,-0.2004515,0.6634068,0.6893836,272.2676,4.9192,141.2575
6.436468,1.625991,0.8386201,-2.417098,0.1414828,-0.007209441,0.9834025,0.113359,346.9974,163.5061,1.052473,1.554505,0.8445863,-2.460573,-0.01800566,-0.08750773,0.9890851,0.11717,346.7835,183.305,349.505,1.355708,0.8293998,-2.504403,0.1970718,-0.007124152,0.9797699,0.03410059,356.0073,157.2555,359.9702,1.976852,0.7810924,-2.190842,0.1719005,-0.1896594,0.6501178,0.7154205,275.4856,329.9562,180.3834,1.886509,0.7814838,-2.247863,0.2108273,-0.200436,0.6633699,0.6894329,272.2737,4.827573,141.353
6.458639,1.62581,0.838593,-2.417123,0.1415811,-0.007195671,0.9833771,0.1134575,346.9865,163.4938,1.057084,1.554806,0.8447317,-2.460474,-0.01807354,-0.08745274,0.9890895,0.1171634,346.7848,183.3121,349.5106,1.355851,0.8295375,-2.504336,0.1972235,-0.006772663,0.9797336,0.03433876,355.9885,157.236,0.01573823,1.976535,0.7810213,-2.190916,0.1718627,-0.1896079,0.6499858,0.7155631,275.5068,330.0319,180.315,1.886424,0.7813619,-2.247886,0.210834,-0.2003847,0.6634193,0.6893982,272.269,5.003307,141.1811
6.469948,1.625735,0.8385631,-2.417149,0.1416101,-0.007232546,0.9833697,0.1134829,346.983,163.4907,1.053651,1.554954,0.84483,-2.460446,-0.01808178,-0.08745085,0.9890966,0.1171034,346.7918,183.3124,349.5111,1.356521,0.8291791,-2.503715,0.1969625,-0.00708144,0.9797924,0.03409529,356.0089,157.2681,359.9744,1.976271,0.780794,-2.190979,0.1718572,-0.1896939,0.6500087,0.7155209,275.5037,329.9395,180.4006,1.886569,0.7813513,-2.248006,0.2107475,-0.2003355,0.6634834,0.6893772,272.2616,5.003164,141.1928
6.492087,1.625618,0.8384366,-2.417089,0.1417015,-0.007208882,0.9833478,0.11356,346.9747,163.4792,1.058947,1.554695,0.8446585,-2.460521,-0.01807636,-0.08751161,0.9890841,0.1171647,346.7849,183.3133,349.5037,1.356562,0.8294553,-2.503838,0.1971796,-0.006707605,0.9797432,0.03432797,355.9911,157.2409,0.02263535,1.976016,0.7806569,-2.191177,0.1715443,-0.1897491,0.650099,0.7154992,275.5029,329.6258,180.736,1.8866,0.7814302,-2.247982,0.2107688,-0.2003404,0.6634362,0.6894147,272.2684,4.968669,141.225
