TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuatFocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance
18.12314,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.378799,1.382374,-2.333848,0.9351808,-0.3359768,0.1116023,0.01006911,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
18.63417,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3790223,1.382264,-2.333916,0.9352846,-0.3357077,0.1115691,0.009771368,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
19.14499,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3791754,1.382162,-2.334232,0.9352376,-0.3358553,0.1115149,0.009814413,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
19.65569,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3788818,1.382189,-2.334085,0.9353007,-0.3357554,0.111183,0.01091967,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
20.16645,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3790241,1.38218,-2.334296,0.9351804,-0.3359636,0.1115655,0.01091995,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
20.67731,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3788568,1.382301,-2.334636,0.9351125,-0.3364097,0.1108035,0.01075329,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
21.18822,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3789245,1.382047,-2.333958,0.9355595,-0.3352601,0.1104727,0.01118316,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
21.68829,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.378978,1.382183,-2.33457,0.9351845,-0.3360682,0.1111871,0.01120248,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
22.19876,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3791862,1.382136,-2.334744,0.9351485,-0.3364119,0.1104525,0.01116104,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
22.70948,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3788748,1.38225,-2.335031,0.9349335,-0.3369426,0.1105603,0.01205869,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
23.20931,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3789698,1.382208,-2.335264,0.9348142,-0.3372511,0.1105787,0.01250568,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
23.72027,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3779265,1.382436,-2.335478,0.9345906,-0.3382089,0.1094189,0.01351337,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
24.23122,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3763964,1.38267,-2.335419,0.9352178,-0.3392152,0.1008976,0.01097114,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
24.73092,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3691971,1.383117,-2.334129,0.9376764,-0.341958,0.06184845,-0.001598045,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
25.24185,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3699395,1.382653,-2.333327,0.9381477,-0.3401123,0.06481882,-0.001045368,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
25.74199,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3696106,1.382448,-2.332515,0.9387895,-0.3381702,0.06568935,1.5466E-06,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
26.24779,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3694964,1.38238,-2.331055,0.9391553,-0.3360333,0.07109468,0.003811751,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
26.75826,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3886923,1.365462,-2.293295,0.9615583,-0.2527182,0.1064533,-0.01438127,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
27.2632,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.4216985,1.304804,-2.25673,0.9865389,0.02245749,0.1472093,-0.06757212,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
27.77414,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3776579,1.297997,-2.286264,0.9864954,0.1601498,0.002042428,-0.03427448,Gaze Focusable Object,False,False,0.3757117,1.291396,-2.282426,-0.05430085,-0.1311877,0.9898605,3.466598
28.28486,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3825081,1.301808,-2.284299,0.9904731,0.1348271,-0.01367579,-0.02444913,Gaze Focusable Object (1),False,False,0.3907673,1.29604,-2.280084,-0.3645884,-0.1144284,0.9240971,0.8397443
28.79566,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3835786,1.313257,-2.29171,0.9956883,0.0920006,-0.008083465,-0.008688111,Gaze Focusable Object,False,False,0.3716043,1.305729,-2.28542,-0.1169976,-0.1273386,0.9849257,2.578773
29.29557,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3541757,1.321137,-2.306559,0.9759454,0.05519041,-0.2092271,0.02661955,None,False,False,0.3396127,1.312851,-2.304624,-0.6413534,-0.1294328,0.756239,0.8727795
29.80649,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.2811517,1.315805,-2.343892,0.8691633,0.03432159,-0.4855039,0.08753952,None,False,False,0.285154,1.313442,-2.331235,-0.9906811,-0.1216305,0.06123267,1.287294
30.30704,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3461695,1.346872,-2.4868,0.7173485,-0.3414632,-0.6033335,0.06930118,Left Wall,False,False,0.3222438,1.350015,-2.46027,-0.6666217,0.5644883,-0.4867723,0.1199564
30.80805,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3698842,1.340392,-2.518554,0.6990036,-0.3785532,-0.6023229,0.07279174,Left Wall,False,False,0.3622074,1.329251,-2.530934,-0.7264759,0.5368487,-0.4289662,0.7655161
31.31481,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3634353,1.326586,-2.32211,0.9958515,0.02958266,-0.08120272,0.02847355,None,False,False,0.3493992,1.324956,-2.336172,-0.005411305,-0.0333036,0.9994223,4.066307
31.81642,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3807746,1.30575,-2.294827,0.9912472,0.125641,0.04052587,0.001001786,Gaze Focusable Object (2),False,False,0.4018819,1.299605,-2.292809,-0.01682989,-0.07289849,0.9971824,1.709251
32.32722,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.386366,1.305787,-2.290749,0.9912184,0.1294899,0.02624723,-0.005431525,Gaze Focusable Object (1),False,False,0.3709467,1.298361,-2.284487,-0.3659418,-0.09097999,0.926171,1.372983
32.82703,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3861777,1.325987,-2.283592,0.997792,-0.05344099,0.03762697,0.01180691,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
33.33803,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3747242,1.37026,-2.296238,0.960095,-0.273653,0.03484168,-0.04601744,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
33.84886,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3589823,1.375963,-2.30072,0.9510791,-0.3072835,-0.009148373,-0.030687,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
34.34891,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3852007,1.377102,-2.317017,0.9447088,-0.3166232,0.08305753,-0.0194029,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
34.85928,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,0.3938932,1.377022,-2.322068,0.9439085,-0.3148137,0.09451959,-0.0315452,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
