TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,lshoulder_xPos,lshoulder_yPos,lshoulder_zPos,lshoulder_wQuat,lshoulder_xQuat,lshoulder_yQuat,lshoulder_zQuat,lshoulder_xrot,lshoulder_yrot,lshoulder_zrot,rshoulder_xPos,rshoulder_yPos,rshoulder_zPos,rshoulder_wQuat,rshoulder_xQuat,rshoulder_yQuat,rshoulder_zQuat,rshoulder_xrot,rshoulder_yrot,rshoulder_zrot
12.52767,1,0,-1.64,0,0,1,0,0,180,0,1.780004,0.828263,-2.56865,-0.1876152,-0.1549279,0.9445365,0.2205647,338.9901,206.9279,336.2861,1.271225,0.8679218,-2.462727,-0.04088951,0.007028964,0.9987302,0.02857489,356.6949,184.6695,0.6716796,2.015299,0.8128266,-2.189824,0.189014,-0.2326499,0.6779873,0.6711787,273.5792,243.7755,261.5126,1.853464,0.8152355,-2.247283,0.1436714,-0.1498124,0.6719955,0.7108705,273.1894,339.0413,176.9946
12.54928,1,0,-1.64,0,0,1,0,0,180,0,1.779776,0.8281813,-2.568661,-0.187619,-0.1549413,0.9445355,0.2205562,338.9915,206.9284,336.2848,1.27117,0.8679005,-2.462714,-0.04082759,0.006996893,0.9987319,0.02861756,356.6902,184.6625,0.6680101,2.015507,0.8130924,-2.189764,0.1890389,-0.2325637,0.6780308,0.6711577,273.571,243.673,261.6204,1.853804,0.8161387,-2.24811,0.1425788,-0.1498179,0.6722671,0.7108325,273.1799,337.4318,178.6943
12.56081,1,0,-1.64,0,0,1,0,0,180,0,1.779798,0.8281875,-2.56866,-0.1876021,-0.1549515,0.9445384,0.2205508,338.992,206.9263,336.2841,1.271257,0.8679255,-2.462672,-0.04082093,0.007033848,0.9987321,0.02860761,356.6912,184.6617,0.6723149,2.016254,0.8135357,-2.18949,0.1890461,-0.2325128,0.6777415,0.6714655,273.559,244.4326,260.8647,1.853682,0.8163331,-2.248108,0.1425425,-0.1498728,0.6722024,0.7108895,273.1908,337.3332,178.7913
12.58254,1,0,-1.64,0,0,1,0,0,180,0,1.779726,0.8281032,-2.568679,-0.18759,-0.1549467,0.9445406,0.2205553,338.991,206.925,336.2848,1.271251,0.8679006,-2.462659,-0.0408298,0.006953563,0.9987309,0.028656,356.686,184.6629,0.6628572,2.016206,0.8135247,-2.189616,0.189067,-0.2324612,0.6777201,0.671499,273.5526,244.4915,260.8084,1.853624,0.8164756,-2.248075,0.1425322,-0.1497567,0.6721457,0.7109695,273.2002,337.5262,178.6087
12.59412,1,0,-1.64,0,0,1,0,0,180,0,1.779965,0.8282292,-2.568634,-0.1876019,-0.1549863,0.9445388,0.2205251,338.9957,206.9261,336.281,1.271276,0.8678897,-2.462699,-0.04081481,0.007069708,0.9987277,0.02875973,356.6736,184.6608,0.6757421,2.016263,0.8136479,-2.189595,0.189127,-0.2324425,0.6777615,0.6714469,273.5474,244.3539,260.9425,1.858402,0.8184536,-2.244809,0.1414817,-0.1501995,0.672892,0.7103797,273.119,335.0014,181.1843
12.61607,1,0,-1.64,0,0,1,0,0,180,0,1.780158,0.8283554,-2.568572,-0.1876098,-0.154988,0.9445331,0.2205415,338.9942,206.9277,336.28,1.271302,0.8679432,-2.462684,-0.04085759,0.007052628,0.9987279,0.02869781,356.6808,184.6658,0.6739283,2.016486,0.8138239,-2.189572,0.1891396,-0.2324857,0.6777949,0.6713946,273.5508,244.2465,261.0452,1.858485,0.8188992,-2.244902,0.141009,-0.1502662,0.6729823,0.7103741,273.1216,334.2043,182.015
12.62782,1,0,-1.64,0,0,1,0,0,180,0,1.780193,0.8283513,-2.568585,-0.1875913,-0.154967,0.9445313,0.2205797,338.989,206.9264,336.2814,1.271281,0.867896,-2.462634,-0.04080809,0.007085455,0.9987296,0.02870196,356.6802,184.66,0.6778371,2.016512,0.8138213,-2.189502,0.1891948,-0.2325306,0.6777653,0.6713934,273.5497,244.277,261.0062,1.858878,0.8191431,-2.24473,0.1410016,-0.1502279,0.6730052,0.710362,273.1183,334.2384,181.9847
12.64923,1,0,-1.64,0,0,1,0,0,180,0,1.780105,0.8282703,-2.568624,-0.1875775,-0.1549826,0.9445377,0.2205529,338.992,206.9241,336.2809,1.271418,0.8679519,-2.462631,-0.04084593,0.007155891,0.9987258,0.02876057,356.6731,184.6641,0.6855148,2.016268,0.8135799,-2.189547,0.1893142,-0.2324678,0.6778348,0.6713113,273.5369,244.043,261.2355,1.85752,0.8182773,-2.245431,0.1407536,-0.1502365,0.6727715,0.7106307,273.1628,334.0593,182.1834
12.66042,1,0,-1.64,0,0,1,0,0,180,0,1.77974,0.8280343,-2.56871,-0.1875307,-0.1550455,0.9445365,0.2205539,338.9925,206.9198,336.2744,1.271374,0.8679472,-2.462641,-0.04080214,0.007123772,0.9987268,0.02879646,356.6692,184.6591,0.6818123,2.016293,0.8136227,-2.189536,0.189324,-0.2324365,0.6778675,0.6712863,273.5343,243.9609,261.3195,1.8578,0.8184648,-2.245318,0.1407726,-0.1502215,0.6727738,0.7106279,273.1617,334.1058,182.1366
12.68247,1,0,-1.64,0,0,1,0,0,180,0,1.779599,0.8279681,-2.568655,-0.1875399,-0.155089,0.9445311,0.2205385,338.9956,206.9213,336.2697,1.27138,0.867913,-2.462653,-0.04082716,0.0070671,0.9987265,0.02878409,356.6708,184.6622,0.6752891,2.016144,0.8135557,-2.189611,0.1893305,-0.2324125,0.6778995,0.6712605,273.5326,243.8804,261.4015,1.856765,0.8177214,-2.245669,0.1405879,-0.1501978,0.6725793,0.7108535,273.1979,334.0352,182.2242
