Time,X,Y,Z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,130.4695428,-16.75916874,22.05932882,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5142184,1.916249,1.787916,-2.20216,0.3217883,-0.9380012,0.1071261,-0.07162386,323.9614,165.4379,197.7905,,143.9614,-14.5621,17.7905,,-13.49185721,2.197068736,-4.268828825,,-3.895517081,-3.169899291,-0.527123306,5.049868694,,-2.395591816,-2.991138234,1.831332606,4.247298812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5360664,1.916158,1.788027,-2.201674,0.3225183,-0.9378179,0.1064873,-0.07169343,323.8672,165.4312,197.7315,,143.8672,-14.5688,17.7315,,-13.39765721,2.190368736,-4.327828825,,-3.844562618,-2.529453194,0.186993745,4.605839972,,-2.633685455,-2.902028277,1.731202471,4.284288645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5588346,1.916013,1.788248,-2.201163,0.323284,-0.9374933,0.1066431,-0.07225749,323.7903,165.323,197.8015,,143.7903,-14.677,17.8015,,-13.32075721,2.082168736,-4.257828825,,-3.366596076,-4.973042713,3.827039174,7.121190336,,-2.846670391,-2.584254969,1.420202241,4.098643734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5809762,1.915773,1.788335,-2.200773,0.3240556,-0.9371405,0.1070386,-0.07279129,323.716,165.208,197.9029,,143.716,-14.792,17.9029,,-13.24645721,1.967168736,-4.156428825,,-3.49322922,-4.149148721,3.752826057,6.595588594,,-3.087765619,-2.002198907,0.904656472,3.789657017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5921859,1.915685,1.788404,-2.200521,0.3244373,-0.9369861,0.1071478,-0.07291748,323.6753,165.1732,197.9357,,143.6753,-14.8268,17.9357,,-13.20575721,1.932368736,-4.123628825,,-3.486526811,-0.339662272,0.131402,3.505496562,,-3.226216757,-0.953446933,0.050148513,3.364528272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
0.6035255,1.915533,1.788474,-2.200292,0.3246986,-0.9369369,0.1069233,-0.0727157,323.6374,165.2007,197.9055,,143.6374,-14.7993,17.9055,,-13.16785721,1.959868736,-4.153828825,,-3.913147057,4.222756594,-3.97335022,6.995134389,,-3.137599562,0.31223286,-0.916484177,3.28359005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6259161,1.914882,1.78848,-2.200161,0.3253081,-0.9368804,0.1061905,-0.07178648,323.537,165.3355,197.7872,,143.537,-14.6645,17.7872,,-13.06745721,2.094668736,-4.272128825,,-4.146944057,6.182028973,-5.51856934,9.266565426,,-2.901922542,1.121106326,-1.460343835,3.436660872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6477804,1.914189,1.788407,-2.200327,0.3257742,-0.9368731,0.1054351,-0.07087577,323.4537,165.4742,197.6614,,143.4537,-14.5258,17.6614,,-12.98415721,2.233368736,-4.397928825,,-3.168883262,6.173163675,-5.442701919,8.818887405,,-2.602207868,1.330777576,-1.513978018,3.291592956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6701705,1.913536,1.788376,-2.200574,0.3260372,-0.9369182,0.104796,-0.07001337,323.3971,165.6086,197.5465,,143.3971,-14.3914,17.5465,,-12.92755721,2.367768736,-4.512828825,,-2.650975689,5.175220194,-3.975118327,7.043588707,,-2.237533789,1.395508762,-1.560117093,3.063979032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6926647,1.913174,1.788482,-2.200373,0.326413,-0.9368775,0.1044663,-0.06929498,323.3347,165.7064,197.4831,,143.3347,-14.2936,17.4831,,-12.86515721,2.465568736,-4.576228825,,-2.655039162,3.846302623,-2.549323263,5.323751114,,-1.859634652,1.621705119,-1.861004181,3.090550936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
