Time,x,y,z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,127.1532442,-1.122246215,4.673249402,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5245358,1.895417,1.781267,-2.046146,0.4435533,-0.8955088,0.03633556,-0.002064396,307.4144,176.6097,186.3225,,127.4144,-3.3903,6.3225,,-0.261155777,-2.268053785,1.649250598,,-0.867921608,2.628541811,-1.696027934,3.246387334,,0.309288938,-0.981925492,0.740807187,1.268318811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.536578,1.895638,1.781273,-2.046108,0.4437756,-0.8954019,0.03626249,-0.001906799,307.3847,176.6387,186.3004,,127.3847,-3.3613,6.3004,,-0.231455777,-2.239053785,1.627150598,,-0.313783773,-0.069241831,0.760261357,0.825379924,,0.32344116,-1.231758086,1.14915745,1.715343992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5583318,1.895796,1.781241,-2.046275,0.4434826,-0.8955315,0.03663615,-0.002078783,307.4247,176.5833,186.3734,,127.4247,-3.4167,6.3734,,-0.271455777,-2.294453785,1.700150598,,1.572086572,-3.857707536,3.966752352,5.752259368,,0.364891501,-1.584165072,1.691878925,2.346311804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5810066,1.895898,1.781137,-2.046439,0.4432915,-0.8956095,0.03700704,-0.002609565,307.4543,176.4661,186.4772,,127.4543,-3.5339,6.4772,,-0.301055777,-2.411653785,1.803950598,,1.45057931,-3.865587878,2.943371163,5.070540778,,0.416346846,-1.751699121,1.967845217,2.667247515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
0.6026266,1.896421,1.781395,-2.046212,0.4430409,-0.8957314,0.03703039,-0.002952487,307.4888,176.4107,186.5055,,127.4888,-3.5893,6.5055,,-0.335555777,-2.467053785,1.832250598,,1.360915589,-0.955711713,0.139829867,1.668840469,,0.33271068,-1.745140004,1.926273685,2.620446591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6139934,1.896616,1.781407,-2.046207,0.4429378,-0.8957849,0.0369732,-0.002947436,307.5016,176.4181,186.4938,,127.5016,-3.5819,6.4938,,-0.348355777,-2.459653785,1.820550598,,1.648366341,1.97766113,-2.527118162,3.607572777,,0.145006097,-2.069039683,2.133721291,2.975687908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6253725,1.896578,1.781413,-2.046468,0.4427317,-0.8958954,0.03677155,-0.002844527,307.5263,176.4557,186.448,,127.5263,-3.5443,6.448,,-0.373055777,-2.422053785,1.774750598,,1.226359757,1.722670084,-2.212642515,3.060610621,,0.037187771,-2.702444494,2.6157437,3.76121048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6473526,1.896875,1.78141,-2.046671,0.4426826,-0.8959217,0.03671781,-0.002857593,307.5325,176.4588,186.4392,,127.5325,-3.5412,6.4392,,-0.379255777,-2.418953785,1.765950598,,0.496636233,-1.050295495,1.073675607,1.58194421,,0.116665358,-3.116241271,2.921648625,4.273242464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6584606,1.897096,1.781447,-2.046663,0.4426293,-0.8959425,0.03684644,-0.002947436,307.5404,176.4339,186.4675,,127.5404,-3.5661,6.4675,,-0.387155777,-2.443853785,1.794250598,,0.06189977,-4.214907047,4.757272887,6.356171671,,0.190327925,-3.015260804,2.754838571,4.088662127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6804218,1.89747,1.78144,-2.04679,0.4427784,-0.8958396,0.03751175,-0.003411423,307.5275,176.298,186.6205,,127.5275,-3.702,6.6205,,-0.374255777,-2.579753785,1.947250598,,-1.422347464,-5.367284998,5.870154029,8.080193617,,0.143980731,-2.727572005,2.457935772,3.674483331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
